uid,row_id,cell,source_group,first_error_step_1based,steps,gate_open,all32_miss,iu__ridge+tcn+bocpd,equal__ridge+tcn+bocpd,iu__ridge+tcn+noreset,equal__ridge+tcn+noreset,iu__ridge+tcn+mean16,equal__ridge+tcn+mean16,iu__ridge+bocpd+noreset,equal__ridge+bocpd+noreset,iu__ridge+bocpd+mean16,equal__ridge+bocpd+mean16,iu__ridge+noreset+mean16,equal__ridge+noreset+mean16,iu__tcn+bocpd+noreset,equal__tcn+bocpd+noreset,iu__tcn+bocpd+mean16,equal__tcn+bocpd+mean16,iu__tcn+noreset+mean16,equal__tcn+noreset+mean16,iu__bocpd+noreset+mean16,equal__bocpd+noreset+mean16,iu__ridge+tcn+bocpd+noreset,equal__ridge+tcn+bocpd+noreset,iu__ridge+tcn+bocpd+mean16,equal__ridge+tcn+bocpd+mean16,iu__ridge+tcn+noreset+mean16,equal__ridge+tcn+noreset+mean16,iu__ridge+bocpd+noreset+mean16,equal__ridge+bocpd+noreset+mean16,iu__tcn+bocpd+noreset+mean16,equal__tcn+bocpd+noreset+mean16,iu__ridge+tcn+bocpd+noreset+mean16,equal__ridge+tcn+bocpd+noreset+mean16,tcn__real,ridge,bocpd,innovation5
pb_gsm8k_q4__763eb5a64b12fc00,gsm8k::gsm8k-112,pb_gsm8k_q4,pb_source_v2:be3a4585736b2276924fab4f,3,5,True,False,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
pb_gsm8k_q4__49adcd027725b73b,gsm8k::gsm8k-113,pb_gsm8k_q4,pb_source_v2:7a2c6c6b675e2d9776eabfcf,4,7,True,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pb_gsm8k_q4__f9ca998da91368f0,gsm8k::gsm8k-114,pb_gsm8k_q4,pb_source_v2:336b088daff70c602c2e1b5c,2,4,True,True,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
pb_gsm8k_q4__37a1e47a86f393e8,gsm8k::gsm8k-115,pb_gsm8k_q4,pb_source_v2:270649c36e2edec1ceb7deb2,1,5,False,True,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN
pb_gsm8k_q4__4d1d5ede7f92bfab,gsm8k::gsm8k-116,pb_gsm8k_q4,pb_source_v2:d79a0a1e51f40426474865ed,4,6,True,True,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
pb_gsm8k_q4__e62b6f46ac829483,gsm8k::gsm8k-117,pb_gsm8k_q4,pb_source_v2:dc1b264fc4aefafbed621c9e,4,4,True,True,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1
pb_gsm8k_q4__64ec5c9741a88152,gsm8k::gsm8k-118,pb_gsm8k_q4,pb_source_v2:13e140ab86daaa95907a1336,2,4,True,True,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
pb_gsm8k_q4__2d34286049ea09cf,gsm8k::gsm8k-119,pb_gsm8k_q4,pb_source_v2:a12533abdf6ec82611c0e201,2,6,True,True,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
pb_gsm8k_q4__d1bf7728e110be59,gsm8k::gsm8k-12,pb_gsm8k_q4,pb_source_v2:665c8666dc5aab37dc6a6b23,2,7,True,False,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
pb_gsm8k_q4__8bf10b9e80279914,gsm8k::gsm8k-120,pb_gsm8k_q4,pb_source_v2:3a43441138b0b2a36dc79d49,6,8,True,False,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
pb_gsm8k_q4__0647921d90660d20,gsm8k::gsm8k-121,pb_gsm8k_q4,pb_source_v2:c754bacae84f5d4a1ffab7f8,6,7,True,True,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pb_gsm8k_q4__cea54152e79985c5,gsm8k::gsm8k-122,pb_gsm8k_q4,pb_source_v2:532f21d9d56d9a0cc773a18c,1,4,False,True,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN
pb_gsm8k_q4__9ae44329d30f3be2,gsm8k::gsm8k-123,pb_gsm8k_q4,pb_source_v2:f5af76ef772842970143c6dc,2,6,True,True,1,1,1,5,5,1,1,5,1,1,5,5,5,5,1,1,5,5,1,5,1,5,1,1,5,5,1,5,5,5,1,5,1,1,1,5
pb_gsm8k_q4__495b99ed90ee2e92,gsm8k::gsm8k-124,pb_gsm8k_q4,pb_source_v2:c4de7ed44de7a40cfffbf89a,1,4,True,False,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pb_gsm8k_q4__83ec22877e2fccaf,gsm8k::gsm8k-125,pb_gsm8k_q4,pb_source_v2:92055657629222de9b57167e,4,6,False,True,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN
pb_gsm8k_q4__4e199e12cf392844,gsm8k::gsm8k-126,pb_gsm8k_q4,pb_source_v2:c0eefac05d0cb3d1daab792d,1,2,False,True,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN
pb_gsm8k_q4__2ed009ce19d2d964,gsm8k::gsm8k-127,pb_gsm8k_q4,pb_source_v2:71b2bb640b405a980704bba9,3,5,False,True,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN
pb_gsm8k_q4__afab657dd997e285,gsm8k::gsm8k-128,pb_gsm8k_q4,pb_source_v2:cbc64e440347421ba7204ac9,2,4,False,True,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN
pb_gsm8k_q4__b620f0b482477700,gsm8k::gsm8k-129,pb_gsm8k_q4,pb_source_v2:79c54290b995fb9f475ba41e,2,6,True,False,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
pb_gsm8k_q4__5b65e417591e5475,gsm8k::gsm8k-13,pb_gsm8k_q4,pb_source_v2:83feeb60e5e4aa20ed953445,2,4,True,False,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
pb_gsm8k_q4__02926df8f44c0c3f,gsm8k::gsm8k-130,pb_gsm8k_q4,pb_source_v2:4efe4e1fc88e20e96eeac19c,3,5,True,False,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
pb_gsm8k_q4__64a0ca8c3b7cef3e,gsm8k::gsm8k-131,pb_gsm8k_q4,pb_source_v2:d5f21c88de42b19fb7a54002,2,4,True,False,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
pb_gsm8k_q4__4cb202081e6c5e8f,gsm8k::gsm8k-132,pb_gsm8k_q4,pb_source_v2:35521bc9f0441298cdf11820,2,4,True,False,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
pb_gsm8k_q4__95576ebf7dbe72f7,gsm8k::gsm8k-133,pb_gsm8k_q4,pb_source_v2:f0b8d0f869a251635471e64e,4,6,True,False,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
pb_gsm8k_q4__a58c46b64d447227,gsm8k::gsm8k-134,pb_gsm8k_q4,pb_source_v2:b8ef5dec533b9ddba8774b4d,2,5,True,True,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
pb_gsm8k_q4__8b1db94217ef02d4,gsm8k::gsm8k-135,pb_gsm8k_q4,pb_source_v2:fd00105695254e90d5e4a649,3,5,True,False,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
pb_gsm8k_q4__2325c9db1ec44c6d,gsm8k::gsm8k-136,pb_gsm8k_q4,pb_source_v2:06b33809927a54ffa7a36215,2,4,True,False,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
pb_gsm8k_q4__355d0de478284d30,gsm8k::gsm8k-137,pb_gsm8k_q4,pb_source_v2:70d0e6bca2ef7b682b08d89e,3,5,True,True,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
pb_gsm8k_q4__32fd3cb5a9bdd77d,gsm8k::gsm8k-138,pb_gsm8k_q4,pb_source_v2:4062ba5ea74a1da5d3f892be,3,4,True,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pb_gsm8k_q4__4e9f8f56dd779d10,gsm8k::gsm8k-139,pb_gsm8k_q4,pb_source_v2:e61063ee448ebe0bfa38e095,3,9,True,True,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
pb_gsm8k_q4__e4b15c7b1b0802e6,gsm8k::gsm8k-14,pb_gsm8k_q4,pb_source_v2:bc5218056be097cb98529aad,5,7,True,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pb_gsm8k_q4__12ab855e116ce3d0,gsm8k::gsm8k-140,pb_gsm8k_q4,pb_source_v2:84015aa6b72f339f3c39458c,4,7,True,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pb_gsm8k_q4__286c7441d95a6c18,gsm8k::gsm8k-141,pb_gsm8k_q4,pb_source_v2:135430c89fe3361e0ba10a37,3,7,False,True,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN
pb_gsm8k_q4__cfc22d69b7c681d0,gsm8k::gsm8k-142,pb_gsm8k_q4,pb_source_v2:01916eeafa3fc71aa8adb750,2,4,True,False,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
pb_gsm8k_q4__820dcb054896d6de,gsm8k::gsm8k-143,pb_gsm8k_q4,pb_source_v2:3ca0e746f10ccf16f6b66c53,2,7,True,False,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
pb_gsm8k_q4__2fe6e54feb4861bf,gsm8k::gsm8k-144,pb_gsm8k_q4,pb_source_v2:41c9120263c3666fed489e30,2,5,True,True,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
pb_gsm8k_q4__92b56b3f1429e044,gsm8k::gsm8k-145,pb_gsm8k_q4,pb_source_v2:f43995a25985fac6a8a1abb3,1,4,True,False,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pb_gsm8k_q4__c8ba324fb403af76,gsm8k::gsm8k-146,pb_gsm8k_q4,pb_source_v2:68c5c8993f3fbb971b1bba1d,2,3,True,False,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
pb_gsm8k_q4__914de93f46e2f97a,gsm8k::gsm8k-147,pb_gsm8k_q4,pb_source_v2:c07cc5511c4fb65f4a999902,2,4,False,True,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN
pb_gsm8k_q4__475cc5a7429b179e,gsm8k::gsm8k-148,pb_gsm8k_q4,pb_source_v2:d1b9151313b9d8cd78a70405,3,5,True,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pb_gsm8k_q4__baa370be1ff440b0,gsm8k::gsm8k-149,pb_gsm8k_q4,pb_source_v2:bc1dbe1334e368381a6a909b,4,5,True,False,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
pb_gsm8k_q4__09640f59adfa014d,gsm8k::gsm8k-15,pb_gsm8k_q4,pb_source_v2:dec85e96ded3c2dbab168360,3,6,True,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pb_gsm8k_q4__0f107780e8c8f38b,gsm8k::gsm8k-150,pb_gsm8k_q4,pb_source_v2:d135182d5083bbab6e15c890,6,9,True,False,2,2,2,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6
pb_gsm8k_q4__1e883330aa4b902a,gsm8k::gsm8k-151,pb_gsm8k_q4,pb_source_v2:a1f065b6912ef1a6933452cc,6,7,True,False,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
pb_gsm8k_q4__a25e1c99cd79f9ce,gsm8k::gsm8k-152,pb_gsm8k_q4,pb_source_v2:ac925787851878177e16593e,2,4,False,True,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN
pb_gsm8k_q4__eeefdd2f7471cc8d,gsm8k::gsm8k-153,pb_gsm8k_q4,pb_source_v2:c54bbb7f74eb8fc4a61171c6,6,9,True,True,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
pb_gsm8k_q4__91319956a17a5c70,gsm8k::gsm8k-154,pb_gsm8k_q4,pb_source_v2:6d51975d44cd4ecacf05e9dc,1,3,True,True,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
pb_gsm8k_q4__f775e9ff2c570e4f,gsm8k::gsm8k-155,pb_gsm8k_q4,pb_source_v2:1ed49328b7b1b7aa2fb84ac3,5,6,True,True,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
pb_gsm8k_q4__bac77343550a5fc1,gsm8k::gsm8k-156,pb_gsm8k_q4,pb_source_v2:569fe2a067082d1d21647bd6,5,8,True,False,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
pb_gsm8k_q4__c7b85da0175796e4,gsm8k::gsm8k-157,pb_gsm8k_q4,pb_source_v2:f16f3c13c4f786d48b2550a7,1,3,True,False,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pb_gsm8k_q4__7f1872641014fbd8,gsm8k::gsm8k-158,pb_gsm8k_q4,pb_source_v2:e4de796776d21d1f3ae15feb,3,4,True,False,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
pb_gsm8k_q4__7b9da77aa0edc101,gsm8k::gsm8k-159,pb_gsm8k_q4,pb_source_v2:c40d9b813cf704a8b7fb077d,1,4,False,True,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN
pb_gsm8k_q4__5655c297f7cbc425,gsm8k::gsm8k-16,pb_gsm8k_q4,pb_source_v2:5debd41dd6e23036fb1184f1,5,7,True,False,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
pb_gsm8k_q4__80785a945590cd91,gsm8k::gsm8k-160,pb_gsm8k_q4,pb_source_v2:0db78aa60991967366234e2b,3,5,True,False,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
pb_gsm8k_q4__3f93ed9d45e79215,gsm8k::gsm8k-161,pb_gsm8k_q4,pb_source_v2:b4f65a52e6d6c9de9b532e4f,3,4,True,True,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
