method,pb_sla_macro8,pb_f1_ct7_gate,pb_sla_q4,pb_sla_q8,within_auc,eligible,step_auroc_mean_folds,step_auprc_mean_folds,prmscore_q80,prmscore_inner,pb,prm,pb_fallback,prm_fallback
consensus10__all__pmf__spectral,0.2782714336683948,0.3292019929570744,0.2863171221965539,0.2702257451402357,0.724927016377415,6030,0.6875043032652572,0.27366436912167724,0.612537626121229,0.6123477373800262,6800,6969,0,0
consensus10__all__pmf__continuous_lsml,0.2673159935871243,0.3212691794202097,0.26636455989215313,0.2682674272820954,0.7264635528338527,6030,0.6897432135375217,0.27194531125396876,0.6102630180464331,0.6111169851111904,6800,6969,0,0
consensus__all__hard__ds,0.3262288078442785,0.3575640504468587,0.3583926539839846,0.2940649617045723,0.7307086838491835,6030,0.684049248109601,0.2591410472926522,0.6060062200884436,0.60602520958352,6800,6969,0,0
consensus__all__hard__hem,0.33534178638763257,0.3651775767327572,0.3546780816563096,0.3160054911189556,0.72050623891381,6030,0.6757874381967988,0.24741423482589037,0.599920357876244,0.6018824108238593,6800,6969,0,0
consensus__all__hard__equal,0.2604384606662118,0.30159531300375864,0.3383607224872107,0.18251619884521286,0.708780644143626,6030,0.6612423867796394,0.216134114556665,0.5800184147812348,0.5824926986430696,6800,6969,0,0
consensus__all__hard__spectral,0.2816264776733105,0.3228160121542194,0.35107892270952196,0.21217403263709916,0.73150414637874,6030,0.684386468736581,0.2597480681742968,0.606262345049626,0.6063218273617014,6800,6969,0,0
consensus__all__hard__binary_lsml,0.2979618035692495,0.33666474583076395,0.34655875446344436,0.24936485267505465,0.6985991046853631,6030,0.6553372943805185,0.21216507281053226,0.5721051720941949,0.5785441520836478,6800,6969,0,0
consensus__all__soft__equal,0.2682158386912383,0.3103497009076844,0.32918050021582224,0.20725117716665437,0.717918908449799,6030,0.6806142894991083,0.25223173674958455,0.60162564950064,0.6026556431730198,6800,6969,0,0
consensus__all__soft__spectral,0.27123196489439994,0.3145299837235543,0.33299274066721285,0.20947118912158708,0.7317393659853659,6030,0.6957072968219739,0.2745831076366513,0.6128658280867284,0.6142113623031386,6800,6969,0,0
consensus__all__soft__continuous_lsml,0.25540289097646196,0.30199098967014226,0.3244283978596285,0.1863773840932954,0.7345513058035632,6030,0.6991023295548324,0.2810781347813491,0.6159500967621788,0.616804980946171,6800,6969,0,0
consensus__all__hard__continuous_lsml,0.2615792786112789,0.30393730114927464,0.3338103513151201,0.18934820590743764,0.7198085569801511,6030,0.6752732826037791,0.2419703026746869,0.6006397764237931,0.5994780693357926,6800,6969,0,0
consensus__all__pmf__equal,0.2682158386912383,0.3103497009076844,0.32918050021582224,0.20725117716665437,0.717918908449799,6030,0.6806142894991083,0.25223173674958455,0.60162564950064,0.6026556431730198,6800,6969,2,0
consensus__all__pmf__spectral,0.2855789914758539,0.3227278172179019,0.34650396840425124,0.22465401454745662,0.7317393659853659,6030,0.6957072968219739,0.2745831076366513,0.6128658280867284,0.6142113623031386,6800,6969,0,0
consensus__all__pmf__continuous_lsml,0.27519098436844935,0.31695707480830704,0.33477413194409844,0.21560783679280027,0.7345513058035632,6030,0.6991023295548324,0.2810781347813491,0.6159500967621788,0.616804980946171,6800,6969,0,0
onset80__all__hard__ds,0.33932450311618895,0.3708922162809073,0.3407517090260628,0.33789729720631523,,,,,,,6800,0,0,0
onset80__all__hard__hem,0.33870526008179763,0.37599320279359744,0.349053139653679,0.32835738050991625,,,,,,,6800,0,0,0
onset80__all__hard__equal,0.18034446727796724,0.23260921291069286,0.18415681846419202,0.1765321160917425,,,,,,,6800,0,0,0
onset80__all__hard__spectral,0.16328346833016963,0.21415407355237437,0.1661442750865891,0.16042266157375018,,,,,,,6800,0,0,0
onset80__all__hard__binary_lsml,0.2724425042594154,0.3271345552867783,0.26329573774979287,0.28158927076903795,,,,,,,6800,0,0,0
onset80__all__soft__equal,0.15890385027233017,0.21049369056089076,0.15677511150444126,0.16103258904021914,,,,,,,6800,0,0,0
onset80__all__soft__spectral,0.14442922947823297,0.19505700279634886,0.14582606635984258,0.14303239259662334,,,,,,,6800,0,0,0
onset80__all__soft__continuous_lsml,0.13684729843547183,0.18867086971065983,0.1372010962305641,0.13649350064037954,,,,,,,6800,0,0,0
onset80__all__hard__continuous_lsml,0.1385827209143331,0.18985512016746142,0.13757931105658527,0.13958613077208093,,,,,,,6800,0,0,0
onset80__all__pmf__equal,0.15890385027233017,0.21049369056089076,0.15677511150444126,0.16103258904021914,,,,,,,6800,0,0,0
onset80__all__pmf__spectral,0.1470338511958587,0.19822660900695913,0.14929073785056157,0.14477696454115582,,,,,,,6800,0,0,0
onset80__all__pmf__continuous_lsml,0.1651377784953395,0.21733511992943735,0.1672665726306455,0.1630089843600335,,,,,,,6800,0,0,0
page_cross__all__hard__ds,0.29259768362659244,0.3267840555949277,0.2944611432574335,0.29073422399575133,,,,,,,6800,0,0,0
page_cross__all__hard__hem,0.29487926414930954,0.32585774821238894,0.3041966176709319,0.2855619106276871,,,,,,,6800,0,0,0
page_cross__all__hard__equal,0.25866980389525285,0.3039996569882659,0.268670446710965,0.24866916107954062,,,,,,,6800,0,0,0
page_cross__all__hard__spectral,0.289044493477829,0.3297058652049685,0.2918136394752852,0.2862753474803728,,,,,,,6800,0,0,0
page_cross__all__hard__binary_lsml,0.2930609428052367,0.3343008534209775,0.2965163540954503,0.2896055315150231,,,,,,,6800,0,0,0
page_cross__all__soft__equal,0.23636224387309698,0.28382411471660884,0.24220280043966158,0.2305216873065324,,,,,,,6800,0,0,0
page_cross__all__soft__spectral,0.24434102087772416,0.2905559212145678,0.2543537337903581,0.2343283079650902,,,,,,,6800,0,0,0
page_cross__all__soft__continuous_lsml,0.23617594635650282,0.2822616499320663,0.23849991063698883,0.23385198207601682,,,,,,,6800,0,0,0
page_cross__all__hard__continuous_lsml,0.2700858593610024,0.31307994356747215,0.2742822666357495,0.26588945208625536,,,,,,,6800,0,0,0
page_cross__all__pmf__equal,0.23636224387309698,0.28382411471660884,0.24220280043966158,0.2305216873065324,,,,,,,6800,0,0,0
page_cross__all__pmf__spectral,0.27573405567880344,0.3198788494537195,0.28199262240240996,0.2694754889551969,,,,,,,6800,0,0,0
page_cross__all__pmf__continuous_lsml,0.2603561154751709,0.3063725079258036,0.24103155809891322,0.2796806728514286,,,,,,,6800,0,0,0
selected__all__hard__ds,0.3357199458462367,0.3532714770397247,0.34674813871354027,0.3246917529789331,0.7507328983216589,6030,0.6983889429992141,0.2791209918582577,0.622389336117116,0.6252003019898554,6800,6969,0,0
selected__all__hard__hem,0.31279981456344674,0.3343294513550026,0.33209036250376767,0.29350926662312576,0.7508213627139504,6030,0.69803833397693,0.2801799174020573,0.6218655333422742,0.6246654110777964,6800,6969,0,0
selected__all__hard__equal,0.3504138216119404,0.3756392934699149,0.35047472577072003,0.3503529174531608,0.7513300139051291,6030,0.6966592287130016,0.2667871066688402,0.6061573421164862,0.6203166227204975,6800,6969,0,0
selected__all__hard__spectral,0.3497796432167938,0.37370165400060407,0.35031014612347244,0.3492491403101151,0.7528872114299962,6030,0.699803031456397,0.2796862360614818,0.6212496671280129,0.6223020386121731,6800,6969,0,0
selected__all__hard__binary_lsml,0.33119613719248664,0.3615500255404915,0.3478088123223952,0.31458346206257803,0.7355686428176389,6030,0.681784238910024,0.2329242452097823,0.6000844980514894,0.6017873921485143,6800,6969,0,0
selected__all__soft__equal,0.3603229144035235,0.3812838355709254,0.35916076616102927,0.36148506264601765,0.7604800959269779,6030,0.7183511784383578,0.3358202994040736,0.6412774747122795,0.6439320643581856,6800,6969,0,0
selected__all__soft__spectral,0.36095428290225373,0.38181394423562803,0.3615884612974003,0.36032010450710705,0.7597557628463434,6030,0.7181387063020506,0.3231387235098725,0.6382049043930622,0.6397518717685508,6800,6969,0,0
selected__all__soft__continuous_lsml,0.36184178107236054,0.38313488726094336,0.3601001851264958,0.3635833770182254,0.7614797270635153,6030,0.7196778849559389,0.3320481578199028,0.6413708977016475,0.6425459238453892,6800,6969,0,0
selected__all__hard__continuous_lsml,0.35040461677885215,0.37430964327670063,0.35142638093535944,0.3493828526223448,0.7547914890179628,6030,0.7012481163599386,0.2798504274629933,0.6213980888349122,0.6227312572518635,6800,6969,0,0
selected__all__pmf__equal,0.3603229144035235,0.3812838355709254,0.35916076616102927,0.36148506264601765,0.7604800959269779,6030,0.7183511784383578,0.3358202994040736,0.6412774747122795,0.6439320643581856,6800,6969,1,0
selected__all__pmf__spectral,0.3604113776941508,0.38286726582194086,0.36131397732726417,0.35950877806103754,0.7597557628463434,6030,0.7181387063020506,0.3231387235098725,0.6382049043930622,0.6397518717685508,6800,6969,0,0
selected__all__pmf__continuous_lsml,0.3570259092935538,0.3800267562721149,0.35995368294092234,0.35409813564618536,0.7614797270635153,6030,0.7196778849559389,0.3320481578199028,0.6413708977016475,0.6425459238453892,6800,6969,0,0
selected_all__all__hard__ds,0.3637756265321549,0.38125735910864955,0.3688780523780195,0.35867320068629016,0.7530049963869598,6030,0.7006814221759166,0.29024431869329553,0.6218799499670036,0.6258994211350954,6800,6969,0,0
selected_all__all__hard__hem,0.358984171784277,0.3749534422192254,0.3673344364737511,0.3506339070948029,0.7487161077262099,6030,0.6994285929623906,0.28300126384853175,0.619656180652845,0.6229549807621959,6800,6969,0,0
selected_all__all__hard__equal,0.35260390747794546,0.37867201275512374,0.35454965693241036,0.35065815802348066,0.7557713012390367,6030,0.7016866520743914,0.2779573735202825,0.6056802188246484,0.6264605016661327,6800,6969,0,0
selected_all__all__hard__spectral,0.35084423407040655,0.37464013110979866,0.35345778378403525,0.3482306843567779,0.7550526305803344,6030,0.7023231916034511,0.2911883910660914,0.6233169531631462,0.6260514141629371,6800,6969,0,0
selected_all__all__hard__binary_lsml,0.3454330933488008,0.37125643554250715,0.35606218403199263,0.33480400266560895,0.7282078552359519,6030,0.678245042256081,0.22507845449953018,0.5937938880746838,0.5965908640871325,6800,6969,0,0
selected_all__all__soft__equal,0.35899640798345,0.37753854496898764,0.3592401353534025,0.3587526806134976,0.7607005365273336,6030,0.7198500583631313,0.3384205100045793,0.6424532997437903,0.64540627605812,6800,6969,0,0
selected_all__all__soft__spectral,0.35765143652978293,0.3797762022705732,0.3547753068406887,0.3605275662188771,0.7562008846416478,6030,0.716691603532665,0.3188007115453626,0.6363081892866101,0.6380878323983266,6800,6969,0,0
selected_all__all__soft__continuous_lsml,0.3584505267766795,0.3790682975601894,0.3579654943612715,0.3589355591920875,0.758309683631914,6030,0.7176440016093759,0.3208440841983524,0.6372414325870819,0.6383424069348164,6800,6969,0,0
selected_all__all__hard__continuous_lsml,0.3520458454394191,0.377115820859923,0.3560991140991798,0.3479925767796583,0.7568560097152689,6030,0.7042526820966003,0.2810968023627931,0.6223738925040754,0.6265981569036558,6800,6969,0,0
selected_all__all__pmf__equal,0.35899640798345,0.37753854496898764,0.3592401353534025,0.3587526806134976,0.7607005365273336,6030,0.7198500583631313,0.3384205100045793,0.6424532997437903,0.64540627605812,6800,6969,1,0
selected_all__all__pmf__spectral,0.3558581966256439,0.3775000873070251,0.3551047983396862,0.3566115949116015,0.7562008846416478,6030,0.716691603532665,0.3188007115453626,0.6363081892866101,0.6380878323983266,6800,6969,0,0
selected_all__all__pmf__continuous_lsml,0.36050309382053114,0.37988224951040406,0.3619913699914358,0.35901481764962656,0.758309683631914,6030,0.7176440016093759,0.3208440841983524,0.6372414325870819,0.6383424069348164,6800,6969,0,0
shuffle__all__hard__ds,0.2828343732441608,0.3201304013042944,0.28800084534972387,0.2776679011385977,0.6061584518994805,6030,0.5776870486988888,0.17232360581478134,0.5319981887010401,0.5319981887010401,6800,6969,0,0
shuffle__all__hard__hem,0.2879581847548697,0.32614655824877914,0.2953450010198678,0.2805713684898714,0.6062120933973641,6030,0.578401942759698,0.17292827714009928,0.5341962978475195,0.5340232726948755,6800,6969,0,0
shuffle__all__hard__equal,0.21993542332044602,0.2688236368317472,0.22303709218298443,0.2168337544579076,0.6055676473065349,6030,0.577119216646293,0.1695741496435727,0.5293945311802271,0.529494431521804,6800,6969,0,0
shuffle__all__hard__spectral,0.18880816596316827,0.24074741105137756,0.18841473893930646,0.1892015929870301,0.6062148529579555,6030,0.577655601982251,0.17225095819742667,0.5316960689810437,0.5313439074843975,6800,6969,0,0
shuffle__all__hard__binary_lsml,0.27749957034884354,0.31942694474225897,0.26773069554099616,0.28726844515669087,0.5903557281673356,6030,0.5649754876384272,0.16183086733418023,0.5082693697704945,0.5241481644743646,6800,6969,0,0
shuffle__all__soft__equal,0.29712881462125035,0.33618600040746427,0.3035061029289142,0.2907515263135865,0.6108274995435783,6030,0.5873131472113875,0.178548823744456,0.5410691991554645,0.5409092101805639,6800,6969,0,0
shuffle__all__soft__spectral,0.29935527688027197,0.3392115931684586,0.3047381940610251,0.29397235969951885,0.6105098318106326,6030,0.5877965135675834,0.1794301067998612,0.5421294676362765,0.5426699402946156,6800,6969,0,0
shuffle__all__soft__continuous_lsml,0.29549717836569117,0.33639428083772066,0.3023777426526884,0.28861661407869393,0.6109906880861773,6030,0.5877874641966898,0.1799530629965096,0.5428025967867925,0.5427243946544684,6800,6969,0,0
shuffle__all__hard__continuous_lsml,0.15064171666898102,0.2043914254621636,0.14947967916132093,0.1518037541766411,0.6058751406661723,6030,0.5768651659462167,0.17307560064995048,0.5318424349610811,0.5312532002299216,6800,6969,0,0
shuffle__all__pmf__equal,0.29712881462125035,0.33618600040746427,0.3035061029289142,0.2907515263135865,0.6108274995435783,6030,0.5873131472113875,0.178548823744456,0.5410691991554645,0.5409092101805639,6800,6969,3,0
shuffle__all__pmf__spectral,0.29991642565230014,0.3395954667006226,0.3059032629347699,0.2939295883698304,0.6105098318106326,6030,0.5877965135675834,0.1794301067998612,0.5421294676362765,0.5426699402946156,6800,6969,0,0
shuffle__all__pmf__continuous_lsml,0.3007429089287933,0.34040732578816146,0.3065620244630966,0.29492379339448993,0.6109906880861773,6030,0.5877874641966898,0.1799530629965096,0.5428025967867925,0.5427243946544684,6800,6969,0,0
shuffle_consensus__all__hard__ds,0.3084589952231207,0.34289725439485186,0.31088685646174297,0.30603113398449844,0.578068031183009,6030,0.5542437093839434,0.16537596063832444,0.5318106826966179,0.5314767785400134,6800,6969,0,0
shuffle_consensus__all__hard__hem,0.3066932037159953,0.3416499122358634,0.309252078105265,0.30413432932672557,0.5885856864618914,6030,0.5613180181216526,0.16714064514872193,0.5318353700669722,0.5325041244019986,6800,6969,0,0
shuffle_consensus__all__hard__equal,0.3033194732078176,0.34194227807676014,0.30118753697159273,0.3054514094440425,0.5852773490037729,6030,0.5587852318773606,0.16445660421987468,0.5295771991379412,0.5323901701441184,6800,6969,0,0
shuffle_consensus__all__hard__spectral,0.30544231534578836,0.34308451017370395,0.304109413989043,0.3067752167025337,0.5827377801085931,6030,0.5564507929334924,0.1659862066104291,0.5321445020705375,0.5313437408991386,6800,6969,0,0
shuffle_consensus__all__hard__binary_lsml,0.30714136143163306,0.3428512259988302,0.3090930075160161,0.30518971534725003,0.5772087866729788,6030,0.5516629510579353,0.16141854514481196,0.529365474905997,0.5293132300407044,6800,6969,0,0
shuffle_consensus__all__soft__equal,0.31375030701232764,0.3494979233697203,0.3176328779252544,0.3098677360994009,0.5914325820844666,6030,0.5724658704519137,0.17310620312233257,0.5382317903340981,0.5376669762267254,6800,6969,0,0
shuffle_consensus__all__soft__spectral,0.3130000508272889,0.3482973610306368,0.31831004911975774,0.30769005253482,0.5895173541944537,6030,0.5714078191971239,0.1726390024501042,0.5376229685230951,0.5369894904826948,6800,6969,0,0
shuffle_consensus__all__soft__continuous_lsml,0.31335076188887934,0.3488638856241014,0.3185417617602055,0.30815976201755324,0.5910571110675589,6030,0.5722154774346752,0.17292573571334652,0.5377352180705856,0.5365203862103296,6800,6969,0,0
shuffle_consensus__all__hard__continuous_lsml,0.3042192629445145,0.34285171066217174,0.3033895821996855,0.3050489436893436,0.5855963757481061,6030,0.558955745529533,0.16701310694787558,0.5320140770134828,0.5318977485920497,6800,6969,0,0
shuffle_consensus__all__pmf__equal,0.31375030701232764,0.3494979233697203,0.3176328779252544,0.3098677360994009,0.5914325820844666,6030,0.5724658704519137,0.17310620312233257,0.5382317903340981,0.5376669762267254,6800,6969,1,0
shuffle_consensus__all__pmf__spectral,0.3146836078782076,0.3507088028978328,0.31807833647930994,0.3112888792771053,0.5895173541944537,6030,0.5714078191971239,0.1726390024501042,0.5376229685230951,0.5369894904826948,6800,6969,0,0
shuffle_consensus__all__pmf__continuous_lsml,0.3120331834648088,0.3478709199736832,0.3171265705798364,0.3069397963497812,0.5910571110675589,6030,0.5722154774346752,0.17292573571334652,0.5377352180705856,0.5365203862103296,6800,6969,0,0
top30__all__hard__ds,0.3600973752300793,0.3780420305511668,0.3623265920181003,0.3578681584420583,0.7043676376423648,6030,0.6623094576068256,0.22771700709616546,0.5867928251446735,0.5907917009796947,6800,6969,0,0
top30__all__hard__hem,0.34283458973076153,0.36881330133138257,0.35308541022051515,0.33258376924100796,0.7087476048691429,6030,0.6655735302496579,0.23137757767550168,0.5993797650277,0.6019026820539792,6800,6969,0,0
top30__all__hard__equal,0.32798153264097485,0.36051873012189956,0.3292959135967095,0.32666715168524024,0.6899894456946818,6030,0.6429689907167604,0.21095143132524555,0.5734012110214051,0.5734012110214051,6800,6969,0,0
top30__all__hard__spectral,0.3394190291389857,0.36886357968598,0.3391232148714224,0.339714843406549,0.7064893546495828,6030,0.664039920278243,0.22747364563822764,0.5857221067470191,0.5871512880656742,6800,6969,0,0
top30__all__hard__binary_lsml,0.313966973557186,0.3486360377400983,0.3202682562430639,0.3076656908713082,0.708530526940782,6030,0.6594832205267973,0.21972316808166753,0.5925685598464561,0.5925685598464561,6800,6969,0,0
top30__all__soft__equal,0.3546805039808066,0.37707796821445244,0.35386002806906575,0.35550097989254736,0.6998272893457927,6030,0.6619328144908962,0.23860772762588006,0.589544247679881,0.5909145148109302,6800,6969,0,0
top30__all__soft__spectral,0.35002028385324446,0.3737801098732595,0.348425134725536,0.35161543298095294,0.7077178355619889,6030,0.6709734696044032,0.23337706425675614,0.5927151129288537,0.5926615767411321,6800,6969,0,0
top30__all__soft__continuous_lsml,0.35245718382270375,0.37534714367545297,0.3498342631737356,0.35508010447167193,0.7047385290161662,6030,0.6691860529583729,0.23389904986533144,0.5922026889415091,0.5911353375546955,6800,6969,0,0
top30__all__hard__continuous_lsml,0.3197589175315611,0.35580864636995624,0.315302850912599,0.32421498415052324,0.7100648721894022,6030,0.6659294083434613,0.22939184768463883,0.5964988167781289,0.5964988167781289,6800,6969,0,0
top30__all__pmf__equal,0.3546805039808066,0.37707796821445244,0.35386002806906575,0.35550097989254736,0.6998272893457927,6030,0.6619328144908962,0.23860772762588006,0.589544247679881,0.5909145148109302,6800,6969,0,0
top30__all__pmf__spectral,0.35590372248433155,0.37957532236279795,0.35415303244021257,0.35765441252845054,0.7077178355619889,6030,0.6709734696044032,0.23337706425675614,0.5927151129288537,0.5926615767411321,6800,6969,0,0
top30__all__pmf__continuous_lsml,0.35277140775644356,0.3758819388546846,0.3513834988708369,0.35415931664205036,0.7047385290161662,6030,0.6691860529583729,0.23389904986533144,0.5922026889415091,0.5911353375546955,6800,6969,0,0
top5__all__hard__ds,0.3298151215503054,0.34934177684065293,0.33695765677118045,0.3226725863294304,0.7556418052388293,6030,0.7058717190688892,0.2807082510683995,0.6246260520637996,0.6254528410896558,6800,6969,0,0
top5__all__hard__hem,0.3270702264815269,0.3489311103234058,0.33456667023232833,0.31957378273072545,0.7530548911693347,6030,0.7039310867858618,0.2740002542282914,0.6277862906385894,0.6283682216463685,6800,6969,0,0
top5__all__hard__equal,0.21247204775949105,0.25936514747013567,0.21644319269787926,0.20850090282110278,0.7349506227330338,6030,0.6802541829924978,0.23294141410619695,0.6029631609955041,0.6029631609955041,6800,6969,0,0
top5__all__hard__spectral,0.2169615701402191,0.26404497527746024,0.22701424448612503,0.20690889579431315,0.7573227321196017,6030,0.7064563517912006,0.2810042092512496,0.6262753134079316,0.626363837369543,6800,6969,0,0
top5__all__hard__binary_lsml,0.3239074319905406,0.35376740305613974,0.33133988484906063,0.3164749791320205,0.7329393644220047,6030,0.6843490939084061,0.23070546662282995,0.5933586042642165,0.5937901747613659,6800,6969,0,0
top5__all__soft__equal,0.32489485450660877,0.3524359319607616,0.3238182489234913,0.3259714600897262,0.7531533804218778,6030,0.7068061212452547,0.31248571688765214,0.6297415610546424,0.6319507791855765,6800,6969,0,0
top5__all__soft__spectral,0.25971487773434754,0.3017909393737659,0.27944774212780527,0.23998201334088987,0.7591920681295428,6030,0.7202829979831138,0.3189153975380133,0.636672508311316,0.6372890507665646,6800,6969,0,0
top5__all__soft__continuous_lsml,0.25759815369596334,0.298460862295546,0.2779591337523982,0.23723717363952843,0.7550375112745155,6030,0.7169359433710831,0.3078130553221029,0.6333053036811935,0.6338008057406179,6800,6969,0,0
top5__all__hard__continuous_lsml,0.16021519986198013,0.2104822066102277,0.158239026011834,0.1621913737121262,0.7585551235118644,6030,0.70613959086647,0.28003991500542746,0.6247152215516311,0.6266480063067383,6800,6969,0,0
top5__all__pmf__equal,0.32489485450660877,0.3524359319607616,0.3238182489234913,0.3259714600897262,0.7531533804218778,6030,0.7068061212452547,0.31248571688765214,0.6297415610546424,0.6319507791855765,6800,6969,7,0
top5__all__pmf__spectral,0.32800925787507385,0.35407975883466314,0.3282899153122135,0.3277286004379341,0.7591920681295428,6030,0.7202829979831138,0.3189153975380133,0.636672508311316,0.6372890507665646,6800,6969,0,0
top5__all__pmf__continuous_lsml,0.3267585909745352,0.35500726778257485,0.32941221285627,0.32410496909280045,0.7550375112745155,6030,0.7169359433710831,0.3078130553221029,0.6333053036811935,0.6338008057406179,6800,6969,0,0
top5__errors__hard__ds,0.32869276863883196,0.34831160118184323,0.3362988952428537,0.3210866420348102,,,,,,,6800,0,0,0
top5__errors__hard__hem,0.3234681469034886,0.34653315298827536,0.34574136528520527,0.30119492852177193,,,,,,,6800,0,0,0
top5__errors__hard__equal,0.21247204775949105,0.25936514747013567,0.21644319269787926,0.20850090282110278,,,,,,,6800,0,0,0
top5__errors__hard__spectral,0.23377255751622653,0.2788917179741092,0.23684705481883667,0.23069806021361636,,,,,,,6800,0,0,0
top5__errors__hard__binary_lsml,0.3176397158012628,0.3446345794054718,0.3367137079315597,0.29856572367096607,,,,,,,6800,0,0,0
top5__errors__soft__equal,0.32489485450660877,0.3524359319607616,0.3238182489234913,0.3259714600897262,,,,,,,6800,0,0,0
top5__errors__soft__spectral,0.26335030233931767,0.30544486750031535,0.28127763526204624,0.2454229694165891,,,,,,,6800,0,0,0
top5__errors__soft__continuous_lsml,0.2593884729688518,0.3001798868682393,0.2782031933268531,0.2405737526108505,,,,,,,6800,0,0,0
top5__errors__hard__continuous_lsml,0.1585622333089938,0.20832306668047634,0.15413400265896482,0.16299046395902278,,,,,,,6800,0,0,0
top5__errors__pmf__equal,0.32489485450660877,0.3524359319607616,0.3238182489234913,0.3259714600897262,,,,,,,6800,0,7,0
top5__errors__pmf__spectral,0.33144648096877916,0.3559436826142288,0.3299977786592271,0.33289518327833134,,,,,,,6800,0,0,0
top5__errors__pmf__continuous_lsml,0.32431865963899115,0.35403180086783514,0.3247212914959412,0.3239160277820411,,,,,,,6800,0,0,0
ct7,0.3988620140983161,0.41188745848863717,0.4004633366930282,0.39726069150360405,0.7723966352864217,6030,0.7233245522013749,0.3413651214271107,0.6425309772481037,0.647104057213021,6800,6969,0,0
token_lsml,0.3592368825176495,0.3732442704802602,0.36049030394718745,0.35798346108811147,0.7531638360944568,6030,0.7191813102795485,0.28053810812825203,0.6303722260272545,0.6299240371677104,6800,6969,0,0
token_equal,0.32592621106812386,0.3487954139076385,0.3306928058457362,0.3211596162905115,0.7311045454951502,6030,0.6960133151959138,0.26160563040416684,0.6169493668203978,0.6183371367886439,6800,6969,0,0
mindgap_previous_unadjusted,0.22645083949185113,0.2748721700546999,0.23116281431252161,0.22173886467118065,0.6337412633612456,6030,0.6096843228273833,0.18613832875268457,0.5420085433240655,0.5426725001664906,6800,6969,0,0
mindgap,0.222504277686643,0.2697458945417888,0.23025999320973997,0.21474856216354604,0.6084010565600693,6030,0.5951939981501104,0.17305446474342095,0.5323748298523776,0.5322737732343956,6800,6969,0,0
dual__iu,0.27894866023031517,0.318920499103613,0.2712143303720624,0.2866829900885679,0.7072298064019268,6021,0.6682804933052313,0.23379020376188536,0.5885243433102284,0.5883241839251488,6796,6952,0,0
dual__joint0,0.30206076418994926,0.3372018244334808,0.3029636406601479,0.30115788771975055,0.7063934369105209,6021,0.6685969430646744,0.23702158778675217,0.5896583273349928,0.5902857871610507,6796,6952,0,0
dual__equal,0.28150770072183606,0.3196932497900862,0.2726663408847846,0.29034906055888754,0.7029728077084104,6021,0.6655122418730544,0.23095331360683344,0.5854157733062433,0.5847097380148832,6796,6952,0,0
context__iu,0.29302412347288354,0.3255834616232781,0.2923805741423975,0.2936676728033697,0.7157964012190194,6021,0.6846624714532321,0.24571979308612973,0.5964619496425738,0.5959989178599425,6796,6952,0,0
single__joint0,0.2966045405489923,0.333113480475541,0.2957657657059091,0.29744331539207547,0.7060872603653018,6021,0.6634752649846545,0.23682095573004305,0.5881500178515451,0.5881679923684665,6796,6952,0,0
