arm,held_group,rho_mode,clean_mode,pooling,selected_variant,selected_alpha,selected_lambda,selected_trust,selection_best_mean_pp,selection_one_se_pp,selection_selected_mean_pp,selection_selected_worst_pp,selection_eligible_count,selection_guarded_count,independent_upstream_variant,graph_delta_vs_iu_pp,matched_upstream_delta_vs_iu_pp,graph_increment_pp,independent_upstream_delta_vs_iu_pp,direction,source_group_weights
su_observed_mean,nq_open,su,observed,mean,su__observed__a0,0.0,0.03,0.5,-0.2282030419598356,0.7148430328933986,-0.2821339104331523,-3.637565436941389,24,0,su__observed__a0,-0.19263002890540504,0.1051558472977665,-0.29778587620317154,0.1051558472977665,"[0.0013776413865962012, 0.0007853208176215027, -0.0032464284895172553, 0.0012980746888850978, -0.00133932192403971, 0.0040100332039922195]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
su_observed_mean,sciq,su,observed,mean,su__observed__a0,0.0,0.03,0.5,-0.2097678110720578,0.6484063828779035,-0.28593248868355525,-3.402116338274034,24,0,su__observed__a0,0.6494246325623676,0.10254073145722353,0.5468839011051441,0.10254073145722353,"[0.0014786510810137574, 0.00026671168646950585, -0.0016620462634150577, 0.001701014264292293, -0.0022257248988618483, 0.004700215075799636]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
su_observed_mean,squad_v2,su,observed,mean,su__observed__a0,0.0,0.03,0.5,-0.3014236014504068,0.5697391820114378,-0.3300492410342081,-3.5638003590133174,24,0,su__observed__a0,0.518913116249009,-0.00017314418292446732,0.5190862604319335,-0.00017314418292446732,"[0.0014983588134084814, 0.0006270236330769762, -0.002926053522395557, 0.0014924278108414172, -0.0017450179396529294, 0.004742592464037399]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
su_observed_mean,triviaqa,su,observed,mean,su__observed__a0,0.0,0.03,0.5,0.4575149447839699,0.23587593261509063,0.2582163537597851,-0.18158807760131346,20,12,su__observed__a0,-3.530893003007566,-3.31264702728206,-0.2182459757255062,-3.31264702728206,"[0.0016074308640206772, 0.0005764545617273066, -0.002698812082668823, 0.0019112144392978126, -0.0016279365998720288, 0.004141803178901321]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
su_observed_mean,truthfulqa,su,observed,mean,su__observed__a0,0.0,0.03,0.5,-0.2814974347370921,0.6168190941812952,-0.3110092606275345,-3.6068697147594273,24,0,su__observed__a0,0.4241193374072805,-0.12993115261050736,0.5540504900177878,-0.12993115261050736,"[0.0014873808784440774, 0.00038440707506699247, -0.0031214940129352096, 0.0016534430843745194, -0.001116967409319577, 0.0028944901357550656]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285}"
iu_all_sparse_mean,gsm8k,iu,all_sparse,mean,iu__all_sparse__a0p25,0.25,0.03,0.5,0.5713512793052231,0.2864591196184221,0.30324859149353783,-0.29584486449976133,63,30,iu__all_sparse__a0p25,0.35745435584734864,-0.008236574694971965,0.3656909305423206,-0.008236574694971965,"[0.0018079534848736635, 0.00010838698066256027, -0.0023350017049604925, 0.002616270023716483, -0.002107067861777026, 0.005966620253844132]","{""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
iu_all_sparse_mean,hotpotqa,iu,all_sparse,mean,iu__all_sparse__a0p25,0.25,0.03,0.5,0.5807457266104329,0.2509544211241396,0.34120626875112947,-0.22632643957202214,56,29,iu__all_sparse__a0p25,0.15910187883230176,0.0,0.15910187883230176,0.0,"[0.002073551810294972, -2.0301905665546882e-05, -0.0021658539895418705, 0.0027736208941063424, -0.0016641556408809217, 0.004257104030387061]","{""gsm8k"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
iu_all_sparse_mean,math500,iu,all_sparse,mean,iu__all_sparse__a0p25,0.25,0.03,0.5,0.45660673957087616,0.27148118364735174,0.25999227431404465,-0.3617833254788483,65,24,iu__all_sparse__a0p25,0.2022033761606612,0.010107573460398367,0.19209580270026283,0.010107573460398367,"[0.0015820836920581566, 0.0006287467044048361, -0.0028065393676144548, 0.0026127375346830274, -0.002404583479051971, 0.005203436044702682]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
iu_all_sparse_mean,nq_open,iu,all_sparse,mean,iu__all_sparse__a0p25,0.25,0.03,0.5,0.48727498810349074,0.20350942609832348,0.310720621489872,0.033750803122556405,56,38,iu__all_sparse__a0p25,-0.30698190859624885,-0.007903889155358446,-0.2990780194408904,-0.007903889155358446,"[0.0014057094062587124, 0.0007127847933456943, -0.0035678994682262714, 0.002299934354860202, -0.001511246083353304, 0.00443291668988842]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
iu_all_sparse_mean,sciq,iu,all_sparse,mean,iu__all_sparse__a0p25,0.25,0.03,0.5,0.395889437190025,0.24197555015023223,0.23609153479904996,-0.32346093014734567,57,28,iu__all_sparse__a0p25,0.5354904864988019,0.0,0.5354904864988019,0.0,"[0.001703491477565197, 0.0001666606447241712, -0.0020253272715111104, 0.002549728588905929, -0.0022242298110492584, 0.0047814452970696125]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
iu_all_sparse_mean,squad_v2,iu,all_sparse,mean,iu__all_sparse__a0p25,0.25,0.03,0.5,0.3591625450738651,0.26418495123503405,0.21245812294549477,-0.32650389950369396,51,24,iu__all_sparse__a0p25,0.5618528736162975,0.0,0.5618528736162975,0.0,"[0.0015732914850121683, 0.0005756378561625723, -0.00324584687349787, 0.0024165152739519056, -0.0019028034544802607, 0.00512597698038765]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
iu_all_sparse_mean,triviaqa,iu,all_sparse,mean,iu__all_sparse__a0p25,0.25,0.03,0.5,0.5143329379068378,0.24848757757798035,0.2748612606526643,-0.33067679498133273,61,24,iu__all_sparse__a0p25,0.013530162360482953,0.12659775765616982,-0.11306759529568684,0.12659775765616982,"[0.0014474304013172487, 0.000518988648780146, -0.0028213102633686186, 0.0023827127192240466, -0.0018099923172639858, 0.004326899025871388]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
iu_all_sparse_mean,truthfulqa,iu,all_sparse,mean,iu__all_sparse__a0p25,0.25,0.03,0.5,0.33738168938654595,0.23055808074053272,0.2161442422077519,-0.23853747285309534,48,36,iu__all_sparse__a0p25,0.5770189413645155,0.011991415450751663,0.5650275259137638,0.011991415450751663,"[0.0015563341199857973, 0.0003471754679719082, -0.0033584588067331793, 0.002382651492450897, -0.0012098655304942489, 0.0032851805404847654]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285}"
su_all_sparse_mean,gsm8k,su,all_sparse,mean,su__all_sparse__a1,1.0,0.03,0.5,0.505622650487068,0.32384671166601775,0.24951703416201862,-0.6191392541301854,40,0,su__all_sparse__a1,0.34709696878239216,-0.03553947237667221,0.38263644115906437,-0.03553947237667221,"[0.0019251697051751017, -2.1749888982719897e-05, -0.0022889553009546727, 0.0023270322296697525, -0.0018166570066230454, 0.005754050351896392]","{""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
su_all_sparse_mean,hotpotqa,su,all_sparse,mean,su__all_sparse__a1,1.0,0.03,0.5,0.5202676942590296,0.27293876266077766,0.3044431420148552,-0.48234875464679233,32,8,su__all_sparse__a1,0.25921092618745867,0.13407461699350698,0.1251363091939517,0.13407461699350698,"[0.0022532213462097958, -0.00021090773836694019, -0.0022124746533863965, 0.002455230990438531, -0.0012894980653137338, 0.004071332070712358]","{""gsm8k"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
su_all_sparse_mean,math500,su,all_sparse,mean,su__all_sparse__a1,1.0,0.03,0.5,0.41597490473850374,0.32223659104247754,0.20529645674460112,-0.6213009850523272,35,0,su__all_sparse__a1,0.2813565779527871,0.06224343142546607,0.21911314652732103,0.06224343142546607,"[0.0018038907303900703, 0.0004291438842520128, -0.0027726391769649595, 0.002284066383918414, -0.0020215510956181565, 0.005001170018874654]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
su_all_sparse_mean,nq_open,su,all_sparse,mean,su__all_sparse__a1,1.0,0.03,0.5,0.40413503032990505,0.2667103311030841,0.24703419869360382,-0.5506229184951732,28,0,su__all_sparse__a1,-0.17837170374119804,0.05907499884632017,-0.2374467025875182,0.05907499884632017,"[0.0016519004175712248, 0.000513130318785082, -0.003495857154197252, 0.001885051843779817, -0.0010964937095234778, 0.004221039713435919]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
su_all_sparse_mean,sciq,su,all_sparse,mean,su__all_sparse__a1,1.0,0.03,0.5,0.35210351736041506,0.2817497398942081,0.2045215702412595,-0.6238384800649421,35,0,su__all_sparse__a1,0.6608180471687319,0.10254073145722353,0.5582773157115084,0.10254073145722353,"[0.0017869517210403626, -1.4309459258539452e-05, -0.0019301107926252446, 0.0022681247372429896, -0.0019558117857521925, 0.004855713849944404]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
su_all_sparse_mean,squad_v2,su,all_sparse,mean,su__all_sparse__a0p5,0.5,0.03,0.5,0.3206172098200633,0.30799938536757493,0.022177068801412073,-1.4164534695762176,33,0,su__all_sparse__a1,0.5682014936571722,-0.00017314418292446732,0.5683746378400967,-0.00017314418292446732,"[0.0017278114371685129, 0.00045813353001189695, -0.0030707377356431528, 0.0019132088513541946, -0.0014453842639773258, 0.004613520624229971]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
su_all_sparse_mean,triviaqa,su,all_sparse,mean,su__all_sparse__a1,1.0,0.03,0.5,0.531562213667811,0.23252474577774865,0.31369120671166184,-0.22018456392263186,51,27,su__all_sparse__a0p5,-0.5708760412495055,-0.37839010927754513,-0.19248593197196034,-1.135303077422304,"[0.001677225573303309, 0.0004447225532063074, -0.002836987388417417, 0.002283351569930177, -0.0016343293039463578, 0.004199336805265497]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
su_all_sparse_mean,truthfulqa,su,all_sparse,mean,su__all_sparse__a1,1.0,0.03,0.5,0.30865553006041385,0.25884996863818993,0.21452299424420213,-0.45683006359236905,32,8,su__all_sparse__a1,0.49532515936628885,-0.03387303156024979,0.5291981909265386,-0.03387303156024979,"[0.0017589243146801383, 0.00018075320922095596, -0.0033379935461239777, 0.0021124602552265353, -0.0008727147843773964, 0.003050694970990364]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285}"
iu_cross_sparse_mean,gsm8k,iu,cross_sparse,mean,iu__cross_sparse__a0p25,0.25,0.03,0.5,0.5705313401257106,0.28782193287706703,0.2998820474966017,-0.26569485561978023,61,28,iu__cross_sparse__a0p25,0.3675113109049144,-0.0024117113112953614,0.36992302221620976,-0.0024117113112953614,"[0.0018519148445182547, -2.925421501607227e-05, -0.002199435228642687, 0.002651896863602984, -0.002009941885336538, 0.005963454851112176]","{""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
iu_cross_sparse_mean,hotpotqa,iu,cross_sparse,mean,iu__cross_sparse__a0p25,0.25,0.03,0.5,0.5757732792399848,0.2572478871042449,0.33428536415475396,-0.20404675768538327,56,28,iu__cross_sparse__a0p25,0.1251363091939406,-0.014301292479312888,0.13943760167325348,-0.014301292479312888,"[0.0020492272703523167, -7.210087187278574e-05, -0.002121415488916942, 0.0027836691661224204, -0.0016213307523454668, 0.004272681340959525]","{""gsm8k"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
iu_cross_sparse_mean,math500,iu,cross_sparse,mean,iu__cross_sparse__a0p25,0.25,0.03,0.5,0.4578456200045539,0.28330237263089053,0.2538929962053576,-0.33712632378256613,65,23,iu__cross_sparse__a0p25,0.24098556039093164,0.0,0.24098556039093164,0.0,"[0.0016172726685450543, 0.0004986824370669777, -0.0026811201178576012, 0.0026378263292353428, -0.0023126133024269405, 0.005215880123080155]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
iu_cross_sparse_mean,nq_open,iu,cross_sparse,mean,iu__cross_sparse__a0p25,0.25,0.03,0.5,0.5002747338271765,0.21869841747741586,0.3075582856197171,-0.04489763851779349,50,32,iu__cross_sparse__a0p25,-0.2814411033001396,0.0,-0.2814411033001396,0.0,"[0.0014687452393227069, 0.0005739660925640376, -0.0034210460727358543, 0.0023031612281305255, -0.0014101117848189196, 0.004419544600900243]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
iu_cross_sparse_mean,sciq,iu,cross_sparse,mean,iu__cross_sparse__a0p25,0.25,0.03,0.5,0.39987100711469425,0.24676969592852516,0.23647195722457143,-0.29432897351525655,58,28,iu__cross_sparse__a0p25,0.5354904864988019,0.0,0.5354904864988019,0.0,"[0.001742499020830438, 3.646475552613237e-05, -0.0018893478389127461, 0.0025728321898081425, -0.0021331402074577406, 0.004783755998456579]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
iu_cross_sparse_mean,squad_v2,iu,cross_sparse,mean,iu__cross_sparse__a0p25,0.25,0.03,0.5,0.35913393601205107,0.26686992224159883,0.19665663919720272,-0.29901089511683576,53,22,iu__cross_sparse__a0p25,0.5898445165237409,0.0,0.5898445165237409,0.0,"[0.001612314627231701, 0.00044546326654083183, -0.0031097487706741003, 0.002439683988459842, -0.0018115898158038162, 0.005128053947398022]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
iu_cross_sparse_mean,triviaqa,iu,cross_sparse,mean,iu__cross_sparse__a0p25,0.25,0.03,0.5,0.5043213447917816,0.2449356386023877,0.2740333106983647,-0.31091427524608806,62,22,iu__cross_sparse__a0p25,-0.05951213063008683,0.05798077282759273,-0.11749290345767956,0.05798077282759273,"[0.0014801477126595223, 0.00045399045530573824, -0.0027109268710320826, 0.0023953242290634213, -0.0017726143454579015, 0.0042974971246742075]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
iu_cross_sparse_mean,truthfulqa,iu,cross_sparse,mean,iu__cross_sparse__a0p25,0.25,0.03,0.5,0.3609068092991109,0.2367489297376873,0.21257701191794715,-0.1999018306760969,48,34,iu__cross_sparse__a0p25,0.5659513358654111,0.0,0.5659513358654111,0.0,"[0.001600975977859154, 0.00021941830391645828, -0.003240800589168962, 0.002411388940518381, -0.0011243372751789137, 0.0033149059473507256]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285}"
