cell,dataset,model,method,supervision,access,passes,profile_src,auroc,auroc_as_published,published_scale,role,same_model,verified_by,source_csv,source,paper_slug,paper_table,paper_columns,paper_evidence,caveat
lapeigvals_gsm8k_llama8b,gsm8k,meta-llama/Llama-3.1-8B-Instruct,AttentionScore (LapEigvals paper),unsupervised,white-box,1,paper,0.72,0.72,0-1,anchor,,extracted,scores_lsml_upcr.csv (rebuilt Step 193),"Binkowski et al., Table 1 (temp=1.0, test AUROC), Llama3.1-8B row",hallucination-detection-in-llms-using-spectral-features-of-a,"Table 1 (temp=1.0, test AUROC)",CoQA | GSM8K | HaluevalQA | NQOpen | SQuADv2 | TriviaQA | TruthfulQA,"Binkowski et al. GSM8K column. AttentionScore: Llama3.2-3B .717, Llama3.1-8B .720, Phi3.5 .666, Mistral-Nemo .630, Mistral-Small-24B .576. LapEigvals: .870 / .872 / .885 / .890 / .925. Caption: 'a single run of logistic regression training'; 'We mark results for AttentionScore in gray as it is an unsupervised approach, not directly comparable to the others'.","CORRECTED Step 193: stored as 'LapEigvals' = 0.925. That value is Mistral-Small-24B's LapEigvals, a DIFFERENT model; this cell's own model is Llama3.1-8B. AttentionScore is the paper's only unsupervised method and therefore the like-for-like comparator for our label-free detector."
lapeigvals_gsm8k_llama8b,gsm8k,meta-llama/Llama-3.1-8B-Instruct,LapEigvals,supervised,white-box,1,paper,0.872,0.872,0-1,table,,extracted,scores_lsml_upcr.csv (rebuilt Step 193),"Binkowski et al., Table 1 (temp=1.0, test AUROC), Llama3.1-8B row",hallucination-detection-in-llms-using-spectral-features-of-a,"Table 1 (temp=1.0, test AUROC)",CoQA | GSM8K | HaluevalQA | NQOpen | SQuADv2 | TriviaQA | TruthfulQA,"Binkowski et al. GSM8K column. AttentionScore: Llama3.2-3B .717, Llama3.1-8B .720, Phi3.5 .666, Mistral-Nemo .630, Mistral-Small-24B .576. LapEigvals: .870 / .872 / .885 / .890 / .925. Caption: 'a single run of logistic regression training'; 'We mark results for AttentionScore in gray as it is an unsupervised approach, not directly comparable to the others'.","SUPERVISED: a logistic-regression probe over Laplacian eigenvalues of attention maps (needs model internals + labels). Compare against our LR oracle, not against our label-free score."
lapeigvals_gsm8k_mistral24b,gsm8k,mistralai/Mistral-Small-24B-Instruct-2501,AttentionScore (LapEigvals paper),unsupervised,white-box,1,paper,0.576,0.576,0-1,anchor,SAME-MODEL,extracted,scores_lsml_upcr.csv (rebuilt Step 193),"Binkowski et al., Table 1 (temp=1.0, test AUROC), Mistral-Small-24B row",hallucination-detection-in-llms-using-spectral-features-of-a,"Table 1 (temp=1.0, test AUROC)",CoQA | GSM8K | HaluevalQA | NQOpen | SQuADv2 | TriviaQA | TruthfulQA,"Binkowski et al. GSM8K column. AttentionScore: Llama3.2-3B .717, Llama3.1-8B .720, Phi3.5 .666, Mistral-Nemo .630, Mistral-Small-24B .576. LapEigvals: .870 / .872 / .885 / .890 / .925. Caption: 'a single run of logistic regression training'; 'We mark results for AttentionScore in gray as it is an unsupervised approach, not directly comparable to the others'.",CORRECTED Step 193: stored as 'LapEigvals' = 0.5760000000000001. The value was right but the method name and supervision tag were wrong. AttentionScore is the paper's only unsupervised method and therefore the like-for-like comparator for our label-free detector.
lapeigvals_gsm8k_mistral24b,gsm8k,mistralai/Mistral-Small-24B-Instruct-2501,LapEigvals,supervised,white-box,1,paper,0.925,0.925,0-1,table,SAME-MODEL,extracted,scores_lsml_upcr.csv (rebuilt Step 193),"Binkowski et al., Table 1 (temp=1.0, test AUROC), Mistral-Small-24B row",hallucination-detection-in-llms-using-spectral-features-of-a,"Table 1 (temp=1.0, test AUROC)",CoQA | GSM8K | HaluevalQA | NQOpen | SQuADv2 | TriviaQA | TruthfulQA,"Binkowski et al. GSM8K column. AttentionScore: Llama3.2-3B .717, Llama3.1-8B .720, Phi3.5 .666, Mistral-Nemo .630, Mistral-Small-24B .576. LapEigvals: .870 / .872 / .885 / .890 / .925. Caption: 'a single run of logistic regression training'; 'We mark results for AttentionScore in gray as it is an unsupervised approach, not directly comparable to the others'.","SUPERVISED: a logistic-regression probe over Laplacian eigenvalues of attention maps (needs model internals + labels). Compare against our LR oracle, not against our label-free score."
lapeigvals_gsm8k_nemo,gsm8k,mistralai/Mistral-Nemo-Instruct-2407,AttentionScore (LapEigvals paper),unsupervised,white-box,1,paper,0.63,0.63,0-1,anchor,SAME-MODEL,extracted,scores_lsml_upcr.csv (rebuilt Step 193),"Binkowski et al., Table 1 (temp=1.0, test AUROC), Mistral-Nemo row",hallucination-detection-in-llms-using-spectral-features-of-a,"Table 1 (temp=1.0, test AUROC)",CoQA | GSM8K | HaluevalQA | NQOpen | SQuADv2 | TriviaQA | TruthfulQA,"Binkowski et al. GSM8K column. AttentionScore: Llama3.2-3B .717, Llama3.1-8B .720, Phi3.5 .666, Mistral-Nemo .630, Mistral-Small-24B .576. LapEigvals: .870 / .872 / .885 / .890 / .925. Caption: 'a single run of logistic regression training'; 'We mark results for AttentionScore in gray as it is an unsupervised approach, not directly comparable to the others'.",CORRECTED Step 193: stored as 'LapEigvals' = 0.63. The value was right but the method name and supervision tag were wrong. AttentionScore is the paper's only unsupervised method and therefore the like-for-like comparator for our label-free detector.
lapeigvals_gsm8k_nemo,gsm8k,mistralai/Mistral-Nemo-Instruct-2407,LapEigvals,supervised,white-box,1,paper,0.89,0.89,0-1,table,SAME-MODEL,extracted,scores_lsml_upcr.csv (rebuilt Step 193),"Binkowski et al., Table 1 (temp=1.0, test AUROC), Mistral-Nemo row",hallucination-detection-in-llms-using-spectral-features-of-a,"Table 1 (temp=1.0, test AUROC)",CoQA | GSM8K | HaluevalQA | NQOpen | SQuADv2 | TriviaQA | TruthfulQA,"Binkowski et al. GSM8K column. AttentionScore: Llama3.2-3B .717, Llama3.1-8B .720, Phi3.5 .666, Mistral-Nemo .630, Mistral-Small-24B .576. LapEigvals: .870 / .872 / .885 / .890 / .925. Caption: 'a single run of logistic regression training'; 'We mark results for AttentionScore in gray as it is an unsupervised approach, not directly comparable to the others'.","SUPERVISED: a logistic-regression probe over Laplacian eigenvalues of attention maps (needs model internals + labels). Compare against our LR oracle, not against our label-free score."
lapeigvals_gsm8k_phi35,gsm8k,microsoft/Phi-3.5-mini-instruct,AttentionScore (LapEigvals paper),unsupervised,white-box,1,paper,0.666,0.666,0-1,anchor,SAME-MODEL,extracted,scores_lsml_upcr.csv (rebuilt Step 193),"Binkowski et al., Table 1 (temp=1.0, test AUROC), Phi3.5 row",hallucination-detection-in-llms-using-spectral-features-of-a,"Table 1 (temp=1.0, test AUROC)",CoQA | GSM8K | HaluevalQA | NQOpen | SQuADv2 | TriviaQA | TruthfulQA,"Binkowski et al. GSM8K column. AttentionScore: Llama3.2-3B .717, Llama3.1-8B .720, Phi3.5 .666, Mistral-Nemo .630, Mistral-Small-24B .576. LapEigvals: .870 / .872 / .885 / .890 / .925. Caption: 'a single run of logistic regression training'; 'We mark results for AttentionScore in gray as it is an unsupervised approach, not directly comparable to the others'.",CORRECTED Step 193: stored as 'LapEigvals' = 0.6659999999999999. The value was right but the method name and supervision tag were wrong. AttentionScore is the paper's only unsupervised method and therefore the like-for-like comparator for our label-free detector.
lapeigvals_gsm8k_phi35,gsm8k,microsoft/Phi-3.5-mini-instruct,LapEigvals,supervised,white-box,1,paper,0.885,0.885,0-1,table,SAME-MODEL,extracted,scores_lsml_upcr.csv (rebuilt Step 193),"Binkowski et al., Table 1 (temp=1.0, test AUROC), Phi3.5 row",hallucination-detection-in-llms-using-spectral-features-of-a,"Table 1 (temp=1.0, test AUROC)",CoQA | GSM8K | HaluevalQA | NQOpen | SQuADv2 | TriviaQA | TruthfulQA,"Binkowski et al. GSM8K column. AttentionScore: Llama3.2-3B .717, Llama3.1-8B .720, Phi3.5 .666, Mistral-Nemo .630, Mistral-Small-24B .576. LapEigvals: .870 / .872 / .885 / .890 / .925. Caption: 'a single run of logistic regression training'; 'We mark results for AttentionScore in gray as it is an unsupervised approach, not directly comparable to the others'.","SUPERVISED: a logistic-regression probe over Laplacian eigenvalues of attention maps (needs model internals + labels). Compare against our LR oracle, not against our label-free score."
losnet_hotpotqa_mistral7b,hotpotqa,mistralai/Mistral-7B-Instruct-v0.2,LOS-Net,supervised,grey-box,1,paper,0.7292,0.7292000000000001,0-1,anchor,,extracted,scores_lsml_upcr.csv,NO CITATION in scores_lsml_upcr.csv — that file carries published_Y/Y_method only,beyond-next-token-probabilities-learnable-fast-detection-of,"Table 1 (test AUC, Mis-7b / L-3-8b)",HotpotQA + 5 further HD/DCD settings,"Bar-Shalom, Frasca et al. (Technion/MIT/Nvidia). HotpotQA/Mistral-7B: LOS-Net 72.92+-0.45; Semantic Entropy 67.66; ATP+R-Transf. 69.70; ATP+R-MLP 68.92; Act. Probe 73.00; Probas-mean 63; Logits-mean 61; Logits-min 61; Logits-max 53; Probas-min 58; Probas-max 50; p(True) 54. Caption: 'orange indicates baselines requiring additional prompting/generations'; Activation Probes 'are incomparable as they access model internals'. The paper's own taxonomy: white-box = model internals, gray-box = operating only on LLM outputs (LOS-Net is gray-box).",
losnet_hotpotqa_mistral7b,hotpotqa,mistralai/Mistral-7B-Instruct-v0.2,ATP+R-MLP,supervised,grey-box,1,paper,0.6892,68.92,0-100,table,,extracted,published_baselines.csv,arXiv 2503.14043 Table 1,beyond-next-token-probabilities-learnable-fast-detection-of,"Table 1 (test AUC, Mis-7b / L-3-8b)",HotpotQA + 5 further HD/DCD settings,"Bar-Shalom, Frasca et al. (Technion/MIT/Nvidia). HotpotQA/Mistral-7B: LOS-Net 72.92+-0.45; Semantic Entropy 67.66; ATP+R-Transf. 69.70; ATP+R-MLP 68.92; Act. Probe 73.00; Probas-mean 63; Logits-mean 61; Logits-min 61; Logits-max 53; Probas-min 58; Probas-max 50; p(True) 54. Caption: 'orange indicates baselines requiring additional prompting/generations'; Activation Probes 'are incomparable as they access model internals'. The paper's own taxonomy: white-box = model internals, gray-box = operating only on LLM outputs (LOS-Net is gray-box).",+-0.24; LOS-Net's learnable baseline
losnet_hotpotqa_mistral7b,hotpotqa,mistralai/Mistral-7B-Instruct-v0.2,ATP+R-Transf.,supervised,grey-box,1,paper,0.697,69.7,0-100,table,,extracted,published_baselines.csv,arXiv 2503.14043 Table 1,beyond-next-token-probabilities-learnable-fast-detection-of,"Table 1 (test AUC, Mis-7b / L-3-8b)",HotpotQA + 5 further HD/DCD settings,"Bar-Shalom, Frasca et al. (Technion/MIT/Nvidia). HotpotQA/Mistral-7B: LOS-Net 72.92+-0.45; Semantic Entropy 67.66; ATP+R-Transf. 69.70; ATP+R-MLP 68.92; Act. Probe 73.00; Probas-mean 63; Logits-mean 61; Logits-min 61; Logits-max 53; Probas-min 58; Probas-max 50; p(True) 54. Caption: 'orange indicates baselines requiring additional prompting/generations'; Activation Probes 'are incomparable as they access model internals'. The paper's own taxonomy: white-box = model internals, gray-box = operating only on LLM outputs (LOS-Net is gray-box).",+-0.39; LOS-Net's learnable baseline
losnet_hotpotqa_mistral7b,hotpotqa,mistralai/Mistral-7B-Instruct-v0.2,Activation Probes,supervised,white-box,1,paper,0.73,73.0,0-100,table,,extracted,published_baselines.csv,arXiv 2503.14043 Table 1,beyond-next-token-probabilities-learnable-fast-detection-of,"Table 1 (test AUC, Mis-7b / L-3-8b)",HotpotQA + 5 further HD/DCD settings,"Bar-Shalom, Frasca et al. (Technion/MIT/Nvidia). HotpotQA/Mistral-7B: LOS-Net 72.92+-0.45; Semantic Entropy 67.66; ATP+R-Transf. 69.70; ATP+R-MLP 68.92; Act. Probe 73.00; Probas-mean 63; Logits-mean 61; Logits-min 61; Logits-max 53; Probas-min 58; Probas-max 50; p(True) 54. Caption: 'orange indicates baselines requiring additional prompting/generations'; Activation Probes 'are incomparable as they access model internals'. The paper's own taxonomy: white-box = model internals, gray-box = operating only on LLM outputs (LOS-Net is gray-box).",+-0.6; white-box supervised reference
losnet_hotpotqa_mistral7b,hotpotqa,mistralai/Mistral-7B-Instruct-v0.2,LOS-Net,supervised,grey-box,1,paper,0.7292,72.92,0-100,table,,extracted,published_baselines.csv,arXiv 2503.14043 Table 1,beyond-next-token-probabilities-learnable-fast-detection-of,"Table 1 (test AUC, Mis-7b / L-3-8b)",HotpotQA + 5 further HD/DCD settings,"Bar-Shalom, Frasca et al. (Technion/MIT/Nvidia). HotpotQA/Mistral-7B: LOS-Net 72.92+-0.45; Semantic Entropy 67.66; ATP+R-Transf. 69.70; ATP+R-MLP 68.92; Act. Probe 73.00; Probas-mean 63; Logits-mean 61; Logits-min 61; Logits-max 53; Probas-min 58; Probas-max 50; p(True) 54. Caption: 'orange indicates baselines requiring additional prompting/generations'; Activation Probes 'are incomparable as they access model internals'. The paper's own taxonomy: white-box = model internals, gray-box = operating only on LLM outputs (LOS-Net is gray-box).",+-0.45; supervised sequence probe on top-k logprobs
losnet_hotpotqa_mistral7b,hotpotqa,mistralai/Mistral-7B-Instruct-v0.2,Logits-max,unsupervised,grey-box,1,paper,0.53,53.0,0-100,table,,extracted,published_baselines.csv,arXiv 2503.14043 Table 1,beyond-next-token-probabilities-learnable-fast-detection-of,"Table 1 (test AUC, Mis-7b / L-3-8b)",HotpotQA + 5 further HD/DCD settings,"Bar-Shalom, Frasca et al. (Technion/MIT/Nvidia). HotpotQA/Mistral-7B: LOS-Net 72.92+-0.45; Semantic Entropy 67.66; ATP+R-Transf. 69.70; ATP+R-MLP 68.92; Act. Probe 73.00; Probas-mean 63; Logits-mean 61; Logits-min 61; Logits-max 53; Probas-min 58; Probas-max 50; p(True) 54. Caption: 'orange indicates baselines requiring additional prompting/generations'; Activation Probes 'are incomparable as they access model internals'. The paper's own taxonomy: white-box = model internals, gray-box = operating only on LLM outputs (LOS-Net is gray-box).",+-0.8
losnet_hotpotqa_mistral7b,hotpotqa,mistralai/Mistral-7B-Instruct-v0.2,Logits-mean,unsupervised,grey-box,1,paper,0.61,61.0,0-100,table,,extracted,published_baselines.csv,arXiv 2503.14043 Table 1,beyond-next-token-probabilities-learnable-fast-detection-of,"Table 1 (test AUC, Mis-7b / L-3-8b)",HotpotQA + 5 further HD/DCD settings,"Bar-Shalom, Frasca et al. (Technion/MIT/Nvidia). HotpotQA/Mistral-7B: LOS-Net 72.92+-0.45; Semantic Entropy 67.66; ATP+R-Transf. 69.70; ATP+R-MLP 68.92; Act. Probe 73.00; Probas-mean 63; Logits-mean 61; Logits-min 61; Logits-max 53; Probas-min 58; Probas-max 50; p(True) 54. Caption: 'orange indicates baselines requiring additional prompting/generations'; Activation Probes 'are incomparable as they access model internals'. The paper's own taxonomy: white-box = model internals, gray-box = operating only on LLM outputs (LOS-Net is gray-box).",+-0.2; mean sampled-token raw logit
losnet_hotpotqa_mistral7b,hotpotqa,mistralai/Mistral-7B-Instruct-v0.2,Logits-min,unsupervised,grey-box,1,paper,0.61,61.0,0-100,table,,extracted,published_baselines.csv,arXiv 2503.14043 Table 1,beyond-next-token-probabilities-learnable-fast-detection-of,"Table 1 (test AUC, Mis-7b / L-3-8b)",HotpotQA + 5 further HD/DCD settings,"Bar-Shalom, Frasca et al. (Technion/MIT/Nvidia). HotpotQA/Mistral-7B: LOS-Net 72.92+-0.45; Semantic Entropy 67.66; ATP+R-Transf. 69.70; ATP+R-MLP 68.92; Act. Probe 73.00; Probas-mean 63; Logits-mean 61; Logits-min 61; Logits-max 53; Probas-min 58; Probas-max 50; p(True) 54. Caption: 'orange indicates baselines requiring additional prompting/generations'; Activation Probes 'are incomparable as they access model internals'. The paper's own taxonomy: white-box = model internals, gray-box = operating only on LLM outputs (LOS-Net is gray-box).",+-0.3
losnet_hotpotqa_mistral7b,hotpotqa,mistralai/Mistral-7B-Instruct-v0.2,Probas-max,unsupervised,grey-box,1,paper,0.5,50.0,0-100,table,,extracted,published_baselines.csv,arXiv 2503.14043 Table 1,beyond-next-token-probabilities-learnable-fast-detection-of,"Table 1 (test AUC, Mis-7b / L-3-8b)",HotpotQA + 5 further HD/DCD settings,"Bar-Shalom, Frasca et al. (Technion/MIT/Nvidia). HotpotQA/Mistral-7B: LOS-Net 72.92+-0.45; Semantic Entropy 67.66; ATP+R-Transf. 69.70; ATP+R-MLP 68.92; Act. Probe 73.00; Probas-mean 63; Logits-mean 61; Logits-min 61; Logits-max 53; Probas-min 58; Probas-max 50; p(True) 54. Caption: 'orange indicates baselines requiring additional prompting/generations'; Activation Probes 'are incomparable as they access model internals'. The paper's own taxonomy: white-box = model internals, gray-box = operating only on LLM outputs (LOS-Net is gray-box).",+-0.5
losnet_hotpotqa_mistral7b,hotpotqa,mistralai/Mistral-7B-Instruct-v0.2,Probas-mean,unsupervised,grey-box,1,paper,0.63,63.0,0-100,table,,extracted,published_baselines.csv,arXiv 2503.14043 Table 1,beyond-next-token-probabilities-learnable-fast-detection-of,"Table 1 (test AUC, Mis-7b / L-3-8b)",HotpotQA + 5 further HD/DCD settings,"Bar-Shalom, Frasca et al. (Technion/MIT/Nvidia). HotpotQA/Mistral-7B: LOS-Net 72.92+-0.45; Semantic Entropy 67.66; ATP+R-Transf. 69.70; ATP+R-MLP 68.92; Act. Probe 73.00; Probas-mean 63; Logits-mean 61; Logits-min 61; Logits-max 53; Probas-min 58; Probas-max 50; p(True) 54. Caption: 'orange indicates baselines requiring additional prompting/generations'; Activation Probes 'are incomparable as they access model internals'. The paper's own taxonomy: white-box = model internals, gray-box = operating only on LLM outputs (LOS-Net is gray-box).",+-0.3; mean sampled-token probability
losnet_hotpotqa_mistral7b,hotpotqa,mistralai/Mistral-7B-Instruct-v0.2,Probas-min,unsupervised,grey-box,1,paper,0.58,58.0,0-100,table,,extracted,published_baselines.csv,arXiv 2503.14043 Table 1,beyond-next-token-probabilities-learnable-fast-detection-of,"Table 1 (test AUC, Mis-7b / L-3-8b)",HotpotQA + 5 further HD/DCD settings,"Bar-Shalom, Frasca et al. (Technion/MIT/Nvidia). HotpotQA/Mistral-7B: LOS-Net 72.92+-0.45; Semantic Entropy 67.66; ATP+R-Transf. 69.70; ATP+R-MLP 68.92; Act. Probe 73.00; Probas-mean 63; Logits-mean 61; Logits-min 61; Logits-max 53; Probas-min 58; Probas-max 50; p(True) 54. Caption: 'orange indicates baselines requiring additional prompting/generations'; Activation Probes 'are incomparable as they access model internals'. The paper's own taxonomy: white-box = model internals, gray-box = operating only on LLM outputs (LOS-Net is gray-box).",+-0.3; min sampled-token probability
losnet_hotpotqa_mistral7b,hotpotqa,mistralai/Mistral-7B-Instruct-v0.2,Semantic Entropy,unsupervised,black-box,K (sampled),paper,0.6766,67.66,0-100,table,,extracted,published_baselines.csv,arXiv 2503.14043 Table 1,zero-source-llm-hallucination-detection-with-human-like-crit,Table 2,TriviaQA | SciQ | NQ Open | CoQA | Avg,Llama-3.1-8b block. HCPD 86.25|86.04|90.38; SemEntropy 78.71|77.81|61.04; TSV 79.78|80.01|70.17; SAPLMA 78.51|85.63|76.23; Perplexity 80.62|66.12|57.92. Caption: AUROC (%); the club glyph marks methods trained on fully labeled data.,+-0.55; K>1 sampling (Kuhn et al. ICLR 2023)
losnet_hotpotqa_mistral7b,hotpotqa,mistralai/Mistral-7B-Instruct-v0.2,p(True),unsupervised,black-box,2 (extra prompt),paper,0.54,54.0,0-100,table,,extracted,published_baselines.csv,arXiv 2503.14043 Table 1,beyond-next-token-probabilities-learnable-fast-detection-of,"Table 1 (test AUC, Mis-7b / L-3-8b)",HotpotQA + 5 further HD/DCD settings,"Bar-Shalom, Frasca et al. (Technion/MIT/Nvidia). HotpotQA/Mistral-7B: LOS-Net 72.92+-0.45; Semantic Entropy 67.66; ATP+R-Transf. 69.70; ATP+R-MLP 68.92; Act. Probe 73.00; Probas-mean 63; Logits-mean 61; Logits-min 61; Logits-max 53; Probas-min 58; Probas-max 50; p(True) 54. Caption: 'orange indicates baselines requiring additional prompting/generations'; Activation Probes 'are incomparable as they access model internals'. The paper's own taxonomy: white-box = model internals, gray-box = operating only on LLM outputs (LOS-Net is gray-box).",+-0.6; Kadavath et al. 2022 self-evaluation prompt
noise_gsm8k_mistral7b,gsm8k,mistralai/Mistral-7B-Instruct-v0.3,Noise Injection,unsupervised,white-box,10,paper,0.785,0.785,0-1,anchor,SAME-MODEL,extracted,scores_lsml_upcr.csv,NO CITATION in scores_lsml_upcr.csv — that file carries published_Y/Y_method only,enhancing-hallucination-detection-through-noise-injection,Table 4,GSM8K | CSQA | TriviaQA,"'w/ Noise' rows: Mistral-7B-Instruct-v0.3 78.50; Phi-3-mini-4k-instruct 72.51. Detection AUROC, K=10 samples.",
noise_gsm8k_phi3mini,gsm8k,microsoft/Phi-3-mini-4k-instruct,Noise Injection,unsupervised,white-box,10,paper,0.7251,0.7251000000000001,0-1,anchor,SAME-MODEL,extracted,scores_lsml_upcr.csv,NO CITATION in scores_lsml_upcr.csv — that file carries published_Y/Y_method only,enhancing-hallucination-detection-through-noise-injection,Table 4,GSM8K | CSQA | TriviaQA,"'w/ Noise' rows: Mistral-7B-Instruct-v0.3 78.50; Phi-3-mini-4k-instruct 72.51. Detection AUROC, K=10 samples.",
