cell,method_a,method_b,source_b,auroc_a,auroc_b,delta,status,resolution
noise_gsm8k_phi3mini,Noise Injection,Noise Injection,reasoning_benchmark.csv,0.7251,0.7251,-0.0000,MATCH,
sciq_llama8b,HCPD,HCPD,published_baselines.csv,0.8604,0.8604,+0.0000,MATCH,
sciq_llama8b,HCPD,HCPD (arXiv 2606.12900),scores_lsml_upcr.csv,0.8604,0.8604,+0.0000,MATCH,
sciq_llama8b,Perplexity,Perplexity,published_baselines.csv,0.6612,0.6612,+0.0000,MATCH,
sciq_llama8b,SAPLMA,SAPLMA,published_baselines.csv,0.8563,0.8563,+0.0000,MATCH,
sciq_llama8b,Semantic Entropy,Semantic Entropy,published_baselines.csv,0.7781,0.7781,+0.0000,MATCH,
sciq_llama8b,TSV,TSV,published_baselines.csv,0.8001,0.8001,+0.0000,MATCH,
se_nq_open_llama8b,HCPD,HCPD,published_baselines.csv,0.9038,0.9038,+0.0000,MATCH,
se_nq_open_llama8b,HCPD,HCPD (arXiv 2606.12900),scores_lsml_upcr.csv,0.9038,0.9038,+0.0000,MATCH,
se_nq_open_llama8b,Perplexity,Perplexity,published_baselines.csv,0.5792,0.5792,+0.0000,MATCH,
se_nq_open_llama8b,SAPLMA,SAPLMA,published_baselines.csv,0.7623,0.7623,-0.0000,MATCH,
se_nq_open_llama8b,Semantic Entropy,Semantic Entropy,published_baselines.csv,0.6104,0.6104,+0.0000,MATCH,
se_nq_open_llama8b,TSV,TSV,published_baselines.csv,0.7017,0.7017,+0.0000,MATCH,
se_squad_v2_llama8b,FEPoID (ALS ceiling),FEPoID (ALS ceiling),published_baselines.csv,0.6377,0.6377,+0.0000,MATCH,
se_squad_v2_llama8b,Lexical Similarity (ALS),Lexical Similarity (ALS),published_baselines.csv,0.5988,0.5988,+0.0000,MATCH,
se_squad_v2_llama8b,Pred. Entropy (ALS),Pred. Entropy (ALS),published_baselines.csv,0.5703,0.5703,+0.0000,MATCH,
se_squad_v2_llama8b,Semantic Entropy (ALS),Semantic Entropy (ALS),published_baselines.csv,0.5518,0.5518,+0.0000,MATCH,
seiclr_triviaqa_opt30b,Semantic Entropy (SE-ICLR'23),Semantic Entropy (SE-ICLR'23),scores_lsml_upcr.csv,0.8300,0.8300,+0.0000,MATCH,
semenergy_triviaqa_qwen3_8b,Semantic Energy,Semantic Energy,scores_lsml_upcr.csv,0.7480,0.7480,+0.0000,MATCH,
spilled_triviaqa_llama8b,FEPoID (ALS ceiling),FEPoID (ALS ceiling),published_baselines.csv,0.7516,0.7516,+0.0000,MATCH,
spilled_triviaqa_llama8b,HARP,HARP,published_baselines.csv,0.9280,0.9280,+0.0000,MATCH,
spilled_triviaqa_llama8b,HCPD,HCPD,published_baselines.csv,0.8625,0.8625,+0.0000,MATCH,
spilled_triviaqa_llama8b,HCPD,HCPD (arXiv 2606.12900),scores_lsml_upcr.csv,0.8625,0.8625,+0.0000,MATCH,
spilled_triviaqa_llama8b,Lexical Similarity (ALS),Lexical Similarity (ALS),published_baselines.csv,0.6838,0.6838,+0.0000,MATCH,
spilled_triviaqa_llama8b,Perplexity,Perplexity,published_baselines.csv,0.8062,0.8062,+0.0000,MATCH,
spilled_triviaqa_llama8b,Pred. Entropy (ALS),Pred. Entropy (ALS),published_baselines.csv,0.6859,0.6859,-0.0000,MATCH,
spilled_triviaqa_llama8b,SAPLMA,SAPLMA,published_baselines.csv,0.7851,0.7851,+0.0000,MATCH,
spilled_triviaqa_llama8b,Semantic Entropy,Semantic Entropy,published_baselines.csv,0.7871,0.7871,+0.0000,MATCH,
spilled_triviaqa_llama8b,TSV,TSV,published_baselines.csv,0.7978,0.7978,-0.0000,MATCH,
truthfulqa_llama8b,TSV (arXiv 2503.01917),TSV (arXiv 2503.01917),scores_lsml_upcr.csv,0.8420,0.8420,-0.0000,MATCH,
ars_gsm8k_r1distill8b,,EigenScore (vanilla),reasoning_benchmark.csv,,0.5298,,ONLY_B,"baseline row from our OWN benchmark runs (citable=yes) — competitors_verified.csv holds published paper-table values only, so absence is structural, not a conflict"
ars_gsm8k_r1distill8b,,Perplexity,reasoning_benchmark.csv,,0.5848,,ONLY_B,"baseline row from our OWN benchmark runs (citable=yes) — competitors_verified.csv holds published paper-table values only, so absence is structural, not a conflict"
ars_gsm8k_r1distill8b,,Semantic Entropy,reasoning_benchmark.csv,,0.6198,,ONLY_B,"baseline row from our OWN benchmark runs (citable=yes) — competitors_verified.csv holds published paper-table values only, so absence is structural, not a conflict"
inside_coqa_llama7b_n30_pilot,,INSIDE,scores_lsml_upcr.csv,,0.8040,,ONLY_B,"cell has no row in competitors_verified.csv (out-of-scope cell or no published anchor) — coverage fact, not a conflict"
lapeigvals_gsm8k_llama3b,,Answer entropy (K=10),reasoning_benchmark.csv,,0.7653,,ONLY_B,"baseline row from our OWN benchmark runs (citable=yes) — competitors_verified.csv holds published paper-table values only, so absence is structural, not a conflict"
lapeigvals_gsm8k_llama3b,,Noise Injection,reasoning_benchmark.csv,,0.8270,,ONLY_B,"baseline row from our OWN benchmark runs (citable=yes) — competitors_verified.csv holds published paper-table values only, so absence is structural, not a conflict"
lapeigvals_gsm8k_phi35,,Perplexity,reasoning_benchmark.csv,,0.7591,,ONLY_B,"baseline row from our OWN benchmark runs (citable=yes) — competitors_verified.csv holds published paper-table values only, so absence is structural, not a conflict"
lapeigvals_gsm8k_phi35,,Sequence logprob,reasoning_benchmark.csv,,0.8078,,ONLY_B,"baseline row from our OWN benchmark runs (citable=yes) — competitors_verified.csv holds published paper-table values only, so absence is structural, not a conflict"
math500_r1distill8b,,ARS (CCS),reasoning_benchmark.csv,,0.8638,,ONLY_B,"cell has no row in competitors_verified.csv (out-of-scope cell or no published anchor) — coverage fact, not a conflict"
math500_r1distill8b,,EigenScore (vanilla),reasoning_benchmark.csv,,0.7589,,ONLY_B,"cell has no row in competitors_verified.csv (out-of-scope cell or no published anchor) — coverage fact, not a conflict"
math500_r1distill8b,,Perplexity,reasoning_benchmark.csv,,0.4096,,ONLY_B,"cell has no row in competitors_verified.csv (out-of-scope cell or no published anchor) — coverage fact, not a conflict"
math500_r1distill8b,,Semantic Entropy,reasoning_benchmark.csv,,0.4360,,ONLY_B,"cell has no row in competitors_verified.csv (out-of-scope cell or no published anchor) — coverage fact, not a conflict"
noise_gsm8k_mistral7b,,Answer entropy (K=10),reasoning_benchmark.csv,,0.7585,,ONLY_B,"baseline row from our OWN benchmark runs (citable=yes) — competitors_verified.csv holds published paper-table values only, so absence is structural, not a conflict"
noise_gsm8k_phi3mini,,Answer entropy (K=10),reasoning_benchmark.csv,,0.6586,,ONLY_B,"baseline row from our OWN benchmark runs (citable=yes) — competitors_verified.csv holds published paper-table values only, so absence is structural, not a conflict"
