feature_index,feature_name,source_stream,operator,post_transform,confidence_sign,implementation,derivation,operator_taxonomy_source,function_signature_role,inherited_input_contract,manual_provenance_registry_used
10,rpdi,token_entropies,tail_to_global_mean_ratio,raw,-1,"{""default_parameters"": {""sw_step"": 1, ""sw_window"": 16, ""tail_frac"": 0.2}, ""function"": ""compute_time_domain"", ""module"": ""spectral_utils.feature_utils"", ""source_file"": ""spectral_utils/feature_utils.py"", ""source_line"": 106}",extractor_registry_plus_explicit_operator_taxonomy,handwritten label-blind _operator_record mapping,records implementation provenance and scalar defaults only,mixed-v2 post-transforms and confidence signs were frozen in earlier label-informed development,False
11,sw_var_peak,token_entropies,sliding_variance_peak,raw,-1,"{""default_parameters"": {""sw_step"": 1, ""sw_window"": 16, ""tail_frac"": 0.2}, ""function"": ""compute_time_domain"", ""module"": ""spectral_utils.feature_utils"", ""source_file"": ""spectral_utils/feature_utils.py"", ""source_line"": 106}",extractor_registry_plus_explicit_operator_taxonomy,handwritten label-blind _operator_record mapping,records implementation provenance and scalar defaults only,mixed-v2 post-transforms and confidence signs were frozen in earlier label-informed development,False
12,pe_mean,token_entropies,permutation_entropy_mean,squared,-1,"{""default_parameters"": {""delay"": 1, ""order"": 3, ""window_size"": 10}, ""function"": ""compute_permutation_entropy"", ""module"": ""spectral_utils.feature_utils"", ""source_file"": ""spectral_utils/feature_utils.py"", ""source_line"": 191}",extractor_registry_plus_explicit_operator_taxonomy,handwritten label-blind _operator_record mapping,records implementation provenance and scalar defaults only,mixed-v2 post-transforms and confidence signs were frozen in earlier label-informed development,False
13,hurst_exponent,token_entropies,rescaled_range_hurst,raw,-1,"{""default_parameters"": {}, ""function"": ""compute_hurst_exponent"", ""module"": ""spectral_utils.feature_utils"", ""source_file"": ""spectral_utils/feature_utils.py"", ""source_line"": 209}",extractor_registry_plus_explicit_operator_taxonomy,handwritten label-blind _operator_record mapping,records implementation provenance and scalar defaults only,mixed-v2 post-transforms and confidence signs were frozen in earlier label-informed development,False
14,cusum_max,token_entropies,cusum_magnitude,raw,-1,"{""default_parameters"": {}, ""function"": ""compute_cusum_residuals"", ""module"": ""spectral_utils.feature_utils"", ""source_file"": ""spectral_utils/feature_utils.py"", ""source_line"": 256}",extractor_registry_plus_explicit_operator_taxonomy,handwritten label-blind _operator_record mapping,records implementation provenance and scalar defaults only,mixed-v2 post-transforms and confidence signs were frozen in earlier label-informed development,False
15,cusum_shift_idx,token_entropies,cusum_location,raw,-1,"{""default_parameters"": {}, ""function"": ""compute_cusum_residuals"", ""module"": ""spectral_utils.feature_utils"", ""source_file"": ""spectral_utils/feature_utils.py"", ""source_line"": 256}",extractor_registry_plus_explicit_operator_taxonomy,handwritten label-blind _operator_record mapping,records implementation provenance and scalar defaults only,mixed-v2 post-transforms and confidence signs were frozen in earlier label-informed development,False
16,epr_spilled,token_spilled_energies,mean_level,raw,-1,"{""default_parameters"": {}, ""function"": ""compute_spilled_energy_features"", ""module"": ""spectral_utils.feature_utils"", ""source_file"": ""spectral_utils/feature_utils.py"", ""source_line"": 277}",extractor_registry_plus_explicit_operator_taxonomy,handwritten label-blind _operator_record mapping,records implementation provenance and scalar defaults only,mixed-v2 post-transforms and confidence signs were frozen in earlier label-informed development,False
17,sw_var_peak_spilled,token_spilled_energies,sliding_variance_peak,raw,-1,"{""default_parameters"": {}, ""function"": ""compute_spilled_energy_features"", ""module"": ""spectral_utils.feature_utils"", ""source_file"": ""spectral_utils/feature_utils.py"", ""source_line"": 277}",extractor_registry_plus_explicit_operator_taxonomy,handwritten label-blind _operator_record mapping,records implementation provenance and scalar defaults only,mixed-v2 post-transforms and confidence signs were frozen in earlier label-informed development,False
18,cusum_max_spilled,token_spilled_energies,cusum_magnitude,raw,-1,"{""default_parameters"": {}, ""function"": ""compute_spilled_energy_features"", ""module"": ""spectral_utils.feature_utils"", ""source_file"": ""spectral_utils/feature_utils.py"", ""source_line"": 277}",extractor_registry_plus_explicit_operator_taxonomy,handwritten label-blind _operator_record mapping,records implementation provenance and scalar defaults only,mixed-v2 post-transforms and confidence signs were frozen in earlier label-informed development,False
19,min_spilled,token_spilled_energies,minimum,raw,-1,"{""default_parameters"": {}, ""function"": ""compute_spilled_energy_features"", ""module"": ""spectral_utils.feature_utils"", ""source_file"": ""spectral_utils/feature_utils.py"", ""source_line"": 277}",extractor_registry_plus_explicit_operator_taxonomy,handwritten label-blind _operator_record mapping,records implementation provenance and scalar defaults only,mixed-v2 post-transforms and confidence signs were frozen in earlier label-informed development,False
20,epr_energy,token_logsumexp,mean_level,raw,1,"{""default_parameters"": {}, ""function"": ""compute_spilled_energy_features"", ""module"": ""spectral_utils.feature_utils"", ""source_file"": ""spectral_utils/feature_utils.py"", ""source_line"": 277}",extractor_registry_plus_explicit_operator_taxonomy,handwritten label-blind _operator_record mapping,records implementation provenance and scalar defaults only,mixed-v2 post-transforms and confidence signs were frozen in earlier label-informed development,False
21,min_energy,token_logsumexp,minimum,raw,1,"{""default_parameters"": {}, ""function"": ""energy_features_from_logsumexp"", ""module"": ""spectral_utils.repgrid_scoring"", ""source_file"": ""spectral_utils/repgrid_scoring.py"", ""source_line"": 42}",extractor_registry_plus_explicit_operator_taxonomy,handwritten label-blind _operator_record mapping,records implementation provenance and scalar defaults only,mixed-v2 post-transforms and confidence signs were frozen in earlier label-informed development,False
22,sw_var_peak_energy,token_logsumexp,sliding_variance_peak,raw,-1,"{""default_parameters"": {}, ""function"": ""compute_spilled_energy_features"", ""module"": ""spectral_utils.feature_utils"", ""source_file"": ""spectral_utils/feature_utils.py"", ""source_line"": 277}",extractor_registry_plus_explicit_operator_taxonomy,handwritten label-blind _operator_record mapping,records implementation provenance and scalar defaults only,mixed-v2 post-transforms and confidence signs were frozen in earlier label-informed development,False
23,cusum_max_energy,token_logsumexp,cusum_magnitude,raw,-1,"{""default_parameters"": {}, ""function"": ""compute_spilled_energy_features"", ""module"": ""spectral_utils.feature_utils"", ""source_file"": ""spectral_utils/feature_utils.py"", ""source_line"": 277}",extractor_registry_plus_explicit_operator_taxonomy,handwritten label-blind _operator_record mapping,records implementation provenance and scalar defaults only,mixed-v2 post-transforms and confidence signs were frozen in earlier label-informed development,False
24,mean_top1_logprob,top_k_logprobs,top1_mean,raw,1,"{""default_parameters"": {}, ""function"": ""logprob_features"", ""module"": ""spectral_utils.repgrid_scoring"", ""source_file"": ""spectral_utils/repgrid_scoring.py"", ""source_line"": 58}",extractor_registry_plus_explicit_operator_taxonomy,handwritten label-blind _operator_record mapping,records implementation provenance and scalar defaults only,mixed-v2 post-transforms and confidence signs were frozen in earlier label-informed development,False
25,logprob_margin,top_k_logprobs,top1_top2_margin,raw,1,"{""default_parameters"": {}, ""function"": ""logprob_features"", ""module"": ""spectral_utils.repgrid_scoring"", ""source_file"": ""spectral_utils/repgrid_scoring.py"", ""source_line"": 58}",extractor_registry_plus_explicit_operator_taxonomy,handwritten label-blind _operator_record mapping,records implementation provenance and scalar defaults only,mixed-v2 post-transforms and confidence signs were frozen in earlier label-informed development,False
26,mean_logprob_entropy,top_k_logprobs,topk_shannon_entropy,raw,-1,"{""default_parameters"": {}, ""function"": ""logprob_features"", ""module"": ""spectral_utils.repgrid_scoring"", ""source_file"": ""spectral_utils/repgrid_scoring.py"", ""source_line"": 58}",extractor_registry_plus_explicit_operator_taxonomy,handwritten label-blind _operator_record mapping,records implementation provenance and scalar defaults only,mixed-v2 post-transforms and confidence signs were frozen in earlier label-informed development,False
27,varentropy,top_k_logprobs,topk_varentropy,raw,-1,"{""default_parameters"": {""tail_k"": 5}, ""function"": ""logprob_features_extended"", ""module"": ""spectral_utils.repgrid_scoring"", ""source_file"": ""spectral_utils/repgrid_scoring.py"", ""source_line"": 91}",extractor_registry_plus_explicit_operator_taxonomy,handwritten label-blind _operator_record mapping,records implementation provenance and scalar defaults only,mixed-v2 post-transforms and confidence signs were frozen in earlier label-informed development,False
28,renyi_entropy_2,top_k_logprobs,topk_renyi2,raw,-1,"{""default_parameters"": {""tail_k"": 5}, ""function"": ""logprob_features_extended"", ""module"": ""spectral_utils.repgrid_scoring"", ""source_file"": ""spectral_utils/repgrid_scoring.py"", ""source_line"": 91}",extractor_registry_plus_explicit_operator_taxonomy,handwritten label-blind _operator_record mapping,records implementation provenance and scalar defaults only,mixed-v2 post-transforms and confidence signs were frozen in earlier label-informed development,False
29,topk_tail_mass,top_k_logprobs,topk_tail_mass,raw,-1,"{""default_parameters"": {""tail_k"": 5}, ""function"": ""logprob_features_extended"", ""module"": ""spectral_utils.repgrid_scoring"", ""source_file"": ""spectral_utils/repgrid_scoring.py"", ""source_line"": 91}",extractor_registry_plus_explicit_operator_taxonomy,handwritten label-blind _operator_record mapping,records implementation provenance and scalar defaults only,mixed-v2 post-transforms and confidence signs were frozen in earlier label-informed development,False
