method,k,no_laplacian_family_delta_vs_iu_pp,best_family_delta_vs_iu_pp,best_lambda,best_positive_lambda_family_delta_vs_iu_pp,best_positive_lambda,best_laplacian_gain_over_same_space_pp
uc_obs,19,-3.310698613601812,-0.4576498514043875,30.0,-0.4576498514043875,30.0,2.8530487621974245
uclean_obs,1,-0.22578452214956496,-0.22578452214956496,0.0,-0.22578452214956496,0.003,0.0
uclean_obs,2,-0.02242421133381023,0.044986488735333785,0.1,0.044986488735333785,0.1,0.06741070006914401
uclean_obs,3,-0.029645739693148765,0.0037847540446875327,0.3,0.0037847540446875327,0.3,0.0334304937378363
uclean_obs,4,-0.0759839283439076,-0.04110408698308754,0.1,-0.04110408698308754,0.1,0.03487984136082006
uclean_obs,5,-0.14275144239025012,0.015509236573059415,0.3,0.015509236573059415,0.3,0.15826067896330953
uclean_obs,6,-0.2448591569015418,-0.03196956058506284,1.0,-0.03196956058506284,1.0,0.21288959631647897
uclean_obs,7,-0.36596867277770423,-0.0635021326467769,1.0,-0.0635021326467769,1.0,0.30246654013092733
uclean_obs,8,-0.7237093836319153,-0.1662971899706031,1.0,-0.1662971899706031,1.0,0.5574121936613121
uclean_obs,9,-0.8777457182491122,-0.2071600129917764,1.0,-0.2071600129917764,1.0,0.6705857052573359
uclean_obs,10,-1.2833431856809339,-0.24721913205974638,3.0,-0.24721913205974638,3.0,1.0361240536211875
uclean_obs,11,-1.3800257369693536,-0.3021802940063392,3.0,-0.3021802940063392,3.0,1.0778454429630144
uclean_obs,12,-1.4443954296320463,-0.28408850516202233,3.0,-0.28408850516202233,3.0,1.160306924470024
uclean_obs,13,-1.5537878456182361,-0.28156781723423785,10.0,-0.28156781723423785,10.0,1.2722200283839982
uclean_obs,14,-1.8433544970547666,-0.23883185481592406,10.0,-0.23883185481592406,10.0,1.6045226422388426
uclean_obs,15,-1.9165275161206308,-0.24219116242270577,10.0,-0.24219116242270577,10.0,1.674336353697925
uclean_obs,16,-2.048149911777998,-0.2537832957637834,10.0,-0.2537832957637834,10.0,1.7943666160142147
uclean_obs,17,-2.1144822280545537,-0.3008855012303399,10.0,-0.3008855012303399,10.0,1.8135967268242137
uclean_obs,18,-2.453357115431351,-0.3036028090263543,10.0,-0.3036028090263543,10.0,2.149754306404997
uclean_obs,19,-2.5554967950806375,-0.3643298991205718,10.0,-0.3643298991205718,10.0,2.1911668959600656
uclean_clean,1,-0.22578452214956496,-0.22578452214956496,0.0,-0.22578452214956496,0.003,0.0
uclean_clean,2,0.0005694435805655984,0.06367533522593782,0.1,0.06367533522593782,0.1,0.06310589164537223
uclean_clean,3,-0.00786602472925696,0.029241468382595892,0.3,0.029241468382595892,0.3,0.03710749311185285
uclean_clean,4,-0.042369419717433465,0.0010615049935672194,0.3,0.0010615049935672194,0.3,0.043430924711000685
uclean_clean,5,-0.15345190554588856,0.0392906924025882,0.3,0.0392906924025882,0.3,0.19274259794847676
uclean_clean,6,-0.25217635019418594,-0.013031038787440774,1.0,-0.013031038787440774,1.0,0.23914531140674516
uclean_clean,7,-0.3439390699604625,-0.03484992303651735,1.0,-0.03484992303651735,1.0,0.3090891469239451
uclean_clean,8,-0.6697252289307537,-0.14418416898821645,1.0,-0.14418416898821645,1.0,0.5255410599425372
uclean_clean,9,-0.8290417459201962,-0.18249810727534316,1.0,-0.18249810727534316,1.0,0.6465436386448531
uclean_clean,10,-1.1383610923072744,-0.2369198433638947,3.0,-0.2369198433638947,3.0,0.9014412489433797
uclean_clean,11,-1.2209888915007405,-0.2896517961670578,3.0,-0.2896517961670578,3.0,0.9313370953336828
uclean_clean,12,-1.29668010418887,-0.27518644576042667,3.0,-0.27518644576042667,3.0,1.0214936584284433
uclean_clean,13,-1.4176456991671889,-0.2686290262798291,3.0,-0.2686290262798291,3.0,1.1490166728873596
uclean_clean,14,-1.7191325132206183,-0.23134795155706628,3.0,-0.23134795155706628,3.0,1.487784561663552
uclean_clean,15,-1.800669134667314,-0.23867568265251715,10.0,-0.23867568265251715,10.0,1.561993452014797
uclean_clean,16,-1.9190587230662444,-0.2491157104731037,10.0,-0.2491157104731037,10.0,1.6699430125931407
uclean_clean,17,-2.0311717964450597,-0.2917229883336189,10.0,-0.2917229883336189,10.0,1.7394488081114408
uclean_clean,18,-2.385056020357486,-0.29789012656576824,10.0,-0.29789012656576824,10.0,2.0871658937917177
uclean_clean,19,-2.4517568169902777,-0.35911206897462494,10.0,-0.35911206897462494,10.0,2.092644748015653
