phase_id,experiment_id,variant_id,gate_id,metric_id,observed,threshold,direction,passed,unit,status,evidence_status,source_artifact,source_sha256,source_row_selector,source_value_field,notes
P0,P0_BRIDGE,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,P0_S2A_ONE_FACTOR_DETECTOR_ONLY,single_factor,answer_dufs_liu_mixed_calibration_only,answer_dufs_liu_mixed_calibration_only,eq,true,detector,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s2a_detector_bridge/P0_S2A_GATES.csv,b1761d2fc4ef68c2319e17d60d556ac56d4a38d5d6b23eff01edfc7b48f86373,gate_id=P0_S2A_ONE_FACTOR_DETECTOR_ONLY,observed,Only the complete-answer detector changes; P0-S2B remains unopened.
P0,P0_BRIDGE,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,P0_S2A_POPULATION_HASH_UNCHANGED,population_sha256,d12d651cad9bec326686c2c83070644d22ca058ed57e942f683452050e757a05,d12d651cad9bec326686c2c83070644d22ca058ed57e942f683452050e757a05,eq,true,sha256,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s2a_detector_bridge/P0_S2A_GATES.csv,b1761d2fc4ef68c2319e17d60d556ac56d4a38d5d6b23eff01edfc7b48f86373,gate_id=P0_S2A_POPULATION_HASH_UNCHANGED,observed,Source-question population and grouping are unchanged from S1.
P0,P0_BRIDGE,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,P0_S2A_LABEL_FREE_DETECTOR_FIT,label_free_detector_fit,true,true,eq,true,boolean,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s2a_detector_bridge/P0_S2A_GATES.csv,b1761d2fc4ef68c2319e17d60d556ac56d4a38d5d6b23eff01edfc7b48f86373,gate_id=P0_S2A_LABEL_FREE_DETECTOR_FIT,observed,DUFS gates graph and IU weights were fitted on calibration telemetry without labels.
P0,P0_BRIDGE,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,P0_S2A_BOOTSTRAP_DRAWS,bootstrap_draws,20000,20000,eq,true,draws,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s2a_detector_bridge/P0_S2A_GATES.csv,b1761d2fc4ef68c2319e17d60d556ac56d4a38d5d6b23eff01edfc7b48f86373,gate_id=P0_S2A_BOOTSTRAP_DRAWS,observed,The registered 20000 paired bootstrap draws were used.
P0,P0_BRIDGE,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,P0_S2A_SOURCE_HASHES_STABLE,source_manifest_sha256,517a977769edba7ad976c843cb47b3f10065e5930d9c49befb0b111611383595,517a977769edba7ad976c843cb47b3f10065e5930d9c49befb0b111611383595,eq,true,sha256,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s2a_detector_bridge/P0_S2A_GATES.csv,b1761d2fc4ef68c2319e17d60d556ac56d4a38d5d6b23eff01edfc7b48f86373,gate_id=P0_S2A_SOURCE_HASHES_STABLE,observed,All registered sources retained their preflight hashes through the run.
P0,P0_FACTORIAL_INTERACTION,P0_S2I_FAMILY6_TOP5_DUFS_DETECTOR,P0_S2I_S2A_RECONSTRUCTION_EXACT,s2a_reconstruction_exact,true,true,eq,true,boolean,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s2i_interaction_control/P0_S2I_GATES.csv,6d6f216519cc3ad48ec67e1197b3ced514aaa765bf8169e57bf60bea57fe66b7,gate_id=P0_S2I_S2A_RECONSTRUCTION_EXACT,observed,Every S2A locator prediction target detector score threshold and metric reconstructs within 1e-12 before top-five opens.
P0,P0_FACTORIAL_INTERACTION,P0_S2I_FAMILY6_TOP5_DUFS_DETECTOR,P0_S2I_ONE_FACTOR_REDUCER_ONLY,single_factor,step_top5mean,step_top5mean,eq,true,reducer,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s2i_interaction_control/P0_S2I_GATES.csv,6d6f216519cc3ad48ec67e1197b3ced514aaa765bf8169e57bf60bea57fe66b7,gate_id=P0_S2I_ONE_FACTOR_REDUCER_ONLY,observed,Only step max changes back to historical top-five mean under the unchanged DUFS-LIU detector.
P0,P0_FACTORIAL_INTERACTION,P0_S2I_FAMILY6_TOP5_DUFS_DETECTOR,P0_S2I_POPULATION_HASH_UNCHANGED,population_sha256,d12d651cad9bec326686c2c83070644d22ca058ed57e942f683452050e757a05,d12d651cad9bec326686c2c83070644d22ca058ed57e942f683452050e757a05,eq,true,sha256,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s2i_interaction_control/P0_S2I_GATES.csv,6d6f216519cc3ad48ec67e1197b3ced514aaa765bf8169e57bf60bea57fe66b7,gate_id=P0_S2I_POPULATION_HASH_UNCHANGED,observed,The 1270-row 635-group historical population is unchanged.
P0,P0_FACTORIAL_INTERACTION,P0_S2I_FAMILY6_TOP5_DUFS_DETECTOR,P0_S2I_LABEL_FREE_DETECTOR_FIT,label_free_detector_fit,true,true,eq,true,boolean,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s2i_interaction_control/P0_S2I_GATES.csv,6d6f216519cc3ad48ec67e1197b3ced514aaa765bf8169e57bf60bea57fe66b7,gate_id=P0_S2I_LABEL_FREE_DETECTOR_FIT,observed,DUFS gates graph and IU weights remain calibration-only and label-free.
P0,P0_FACTORIAL_INTERACTION,P0_S2I_FAMILY6_TOP5_DUFS_DETECTOR,P0_S2I_EXISTING_EDGES_RECONSTRUCTED,existing_edge_max_abs_delta,2.7755575615628914e-17,1e-12,le,true,absolute_delta,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s2i_interaction_control/P0_S2I_GATES.csv,6d6f216519cc3ad48ec67e1197b3ced514aaa765bf8169e57bf60bea57fe66b7,gate_id=P0_S2I_EXISTING_EDGES_RECONSTRUCTED,observed,The common-draw factorial bootstrap reproduces the frozen S1 and S2A edge intervals within tolerance.
P0,P0_FACTORIAL_INTERACTION,P0_S2I_FAMILY6_TOP5_DUFS_DETECTOR,P0_S2I_SOURCE_HASHES_STABLE,source_manifest_sha256,16f5bc555c44d1ac7a30154e92983ff7abe8ce57cd9112dad0f0e2e8bd63f908,16f5bc555c44d1ac7a30154e92983ff7abe8ce57cd9112dad0f0e2e8bd63f908,eq,true,sha256,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s2i_interaction_control/P0_S2I_GATES.csv,6d6f216519cc3ad48ec67e1197b3ced514aaa765bf8169e57bf60bea57fe66b7,gate_id=P0_S2I_SOURCE_HASHES_STABLE,observed,All registered S0 S1 S2A and source hashes are unchanged through the run.
P0,P0_BRIDGE,P0_S2B_FAMILY6_STEP_MAX_LOCAL_DETECTOR,P0_S2B_S2A_RECONSTRUCTION_EXACT,s2a_reconstruction_exact,true,true,eq,true,boolean,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s2b_pure_local_detector_bridge/P0_S2B_GATES.csv,6e30ac5e1db6ecd3819fb64e323fc96e62904800665be52fb459b2983346c578,gate_id=P0_S2B_S2A_RECONSTRUCTION_EXACT,observed,All S2A units targets locators predictions scores thresholds and metrics reconstruct within 1e-12.
P0,P0_BRIDGE,P0_S2B_FAMILY6_STEP_MAX_LOCAL_DETECTOR,P0_S2B_ONE_FACTOR_DETECTOR_ONLY,single_factor,family6_level_curve_max,family6_level_curve_max,eq,true,detector,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s2b_pure_local_detector_bridge/P0_S2B_GATES.csv,6e30ac5e1db6ecd3819fb64e323fc96e62904800665be52fb459b2983346c578,gate_id=P0_S2B_ONE_FACTOR_DETECTOR_ONLY,observed,Only the complete-answer detector changes from DUFS-LIU to the local curve maximum.
P0,P0_BRIDGE,P0_S2B_FAMILY6_STEP_MAX_LOCAL_DETECTOR,P0_S2B_LOCATOR_UNCHANGED,locator_mismatches,0,0,eq,true,count,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s2b_pure_local_detector_bridge/P0_S2B_GATES.csv,6e30ac5e1db6ecd3819fb64e323fc96e62904800665be52fb459b2983346c578,gate_id=P0_S2B_LOCATOR_UNCHANGED,observed,The candidate uses exactly the same step-max locator as S2A in all 1270 scorer rows.
P0,P0_BRIDGE,P0_S2B_FAMILY6_STEP_MAX_LOCAL_DETECTOR,P0_S2B_POPULATION_HASH_UNCHANGED,population_sha256,d12d651cad9bec326686c2c83070644d22ca058ed57e942f683452050e757a05,d12d651cad9bec326686c2c83070644d22ca058ed57e942f683452050e757a05,eq,true,sha256,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s2b_pure_local_detector_bridge/P0_S2B_GATES.csv,6e30ac5e1db6ecd3819fb64e323fc96e62904800665be52fb459b2983346c578,gate_id=P0_S2B_POPULATION_HASH_UNCHANGED,observed,The historical 1270-row 635-group population is unchanged from S2A.
P0,P0_BRIDGE,P0_S2B_FAMILY6_STEP_MAX_LOCAL_DETECTOR,P0_S2B_LABEL_FREE_CURVE_FIT,label_free_curve_fit,true,true,eq,true,boolean,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s2b_pure_local_detector_bridge/P0_S2B_GATES.csv,6e30ac5e1db6ecd3819fb64e323fc96e62904800665be52fb459b2983346c578,gate_id=P0_S2B_LABEL_FREE_CURVE_FIT,observed,The family6 local curve fit uses calibration telemetry without labels; labels enter only the unchanged threshold selection and metrics.
P0,P0_BRIDGE,P0_S2B_FAMILY6_STEP_MAX_LOCAL_DETECTOR,P0_S2B_BOOTSTRAP_DRAWS,bootstrap_draws,20000,20000,eq,true,draws,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s2b_pure_local_detector_bridge/P0_S2B_GATES.csv,6e30ac5e1db6ecd3819fb64e323fc96e62904800665be52fb459b2983346c578,gate_id=P0_S2B_BOOTSTRAP_DRAWS,observed,The registered 20000 paired source-question bootstrap draws were used.
P0,P0_BRIDGE,P0_S2B_FAMILY6_STEP_MAX_LOCAL_DETECTOR,P0_S2B_SOURCE_HASHES_STABLE,source_manifest_sha256,0f715248a194abcff7834cd1e57799aa340eb79d936218a1be0e1d037e59e549,0f715248a194abcff7834cd1e57799aa340eb79d936218a1be0e1d037e59e549,eq,true,sha256,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s2b_pure_local_detector_bridge/P0_S2B_GATES.csv,6e30ac5e1db6ecd3819fb64e323fc96e62904800665be52fb459b2983346c578,gate_id=P0_S2B_SOURCE_HASHES_STABLE,observed,All registered S0 S1 S2A sources and code dependencies retain their preflight hashes.
P0,P0_BRIDGE,P0_S3A_RAW_ENTROPY_STEP_MAX_LOCAL_DETECTOR,P0_S3A_S2B_RECONSTRUCTION_EXACT,s2b_reconstruction_exact,true,true,eq,true,boolean,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s3a_raw_entropy_representation_bridge/P0_S3A_GATES.csv,36ec81805a263b84ba54862928684fddbe605d0aa1f4b56936ac8878bc0f3910,gate_id=P0_S3A_S2B_RECONSTRUCTION_EXACT,observed,All S2B units targets locators predictions scores thresholds and metrics reconstruct within 1e-12.
P0,P0_BRIDGE,P0_S3A_RAW_ENTROPY_STEP_MAX_LOCAL_DETECTOR,P0_S3A_ONE_FACTOR_REPRESENTATION_ONLY,single_factor,raw_token_entropy,raw_token_entropy,eq,true,representation,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s3a_raw_entropy_representation_bridge/P0_S3A_GATES.csv,36ec81805a263b84ba54862928684fddbe605d0aa1f4b56936ac8878bc0f3910,gate_id=P0_S3A_ONE_FACTOR_REPRESENTATION_ONLY,observed,Only the local-risk representation changes from fitted family6 level to raw token entropy.
P0,P0_BRIDGE,P0_S3A_RAW_ENTROPY_STEP_MAX_LOCAL_DETECTOR,P0_S3A_RAW_CURVES_FINITE,raw_curves_finite,true,true,eq,true,boolean,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s3a_raw_entropy_representation_bridge/P0_S3A_GATES.csv,36ec81805a263b84ba54862928684fddbe605d0aa1f4b56936ac8878bc0f3910,gate_id=P0_S3A_RAW_CURVES_FINITE,observed,Every raw token-entropy curve used by the candidate is finite.
P0,P0_BRIDGE,P0_S3A_RAW_ENTROPY_STEP_MAX_LOCAL_DETECTOR,P0_S3A_POPULATION_HASH_UNCHANGED,population_sha256,d12d651cad9bec326686c2c83070644d22ca058ed57e942f683452050e757a05,d12d651cad9bec326686c2c83070644d22ca058ed57e942f683452050e757a05,eq,true,sha256,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s3a_raw_entropy_representation_bridge/P0_S3A_GATES.csv,36ec81805a263b84ba54862928684fddbe605d0aa1f4b56936ac8878bc0f3910,gate_id=P0_S3A_POPULATION_HASH_UNCHANGED,observed,The historical 1270-row 635-group population is unchanged from S2B.
P0,P0_BRIDGE,P0_S3A_RAW_ENTROPY_STEP_MAX_LOCAL_DETECTOR,P0_S3A_LABEL_FREE_REPRESENTATION,label_free_representation,true,true,eq,true,boolean,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s3a_raw_entropy_representation_bridge/P0_S3A_GATES.csv,36ec81805a263b84ba54862928684fddbe605d0aa1f4b56936ac8878bc0f3910,gate_id=P0_S3A_LABEL_FREE_REPRESENTATION,observed,Raw entropy construction reads token telemetry without labels; labels enter only the unchanged threshold and metrics.
P0,P0_BRIDGE,P0_S3A_RAW_ENTROPY_STEP_MAX_LOCAL_DETECTOR,P0_S3A_BOOTSTRAP_DRAWS,bootstrap_draws,20000,20000,eq,true,draws,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s3a_raw_entropy_representation_bridge/P0_S3A_GATES.csv,36ec81805a263b84ba54862928684fddbe605d0aa1f4b56936ac8878bc0f3910,gate_id=P0_S3A_BOOTSTRAP_DRAWS,observed,The registered 20000 paired source-question bootstrap draws were used.
P0,P0_BRIDGE,P0_S3A_RAW_ENTROPY_STEP_MAX_LOCAL_DETECTOR,P0_S3A_SOURCE_HASHES_STABLE,source_manifest_sha256,feca233e7236ba7fdf5909c8ada8fb99851fc0199444f23919c4cbae655790f4,feca233e7236ba7fdf5909c8ada8fb99851fc0199444f23919c4cbae655790f4,eq,true,sha256,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s3a_raw_entropy_representation_bridge/P0_S3A_GATES.csv,36ec81805a263b84ba54862928684fddbe605d0aa1f4b56936ac8878bc0f3910,gate_id=P0_S3A_SOURCE_HASHES_STABLE,observed,All registered S2B artifacts code dependencies and raw-source files retain their preflight hashes.
P0,P0_BRIDGE,P0_S3B_IU29_STEP_MAX_LOCAL_DETECTOR,P0_S3B_S3A_RECONSTRUCTION_EXACT,s3a_reconstruction_exact,true,true,eq,true,boolean,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s3b_iu29_representation_bridge/P0_S3B_GATES.csv,4b966a36eef8fc899e73349e494c87f3128b2bcf275c50e1efb1650a8918a88c,gate_id=P0_S3B_S3A_RECONSTRUCTION_EXACT,observed,All S3A units targets locators predictions scores thresholds and metrics reconstruct within 1e-12.
P0,P0_BRIDGE,P0_S3B_IU29_STEP_MAX_LOCAL_DETECTOR,P0_S3B_ONE_FACTOR_REPRESENTATION_ONLY,single_factor,local_iu29,local_iu29,eq,true,representation,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s3b_iu29_representation_bridge/P0_S3B_GATES.csv,4b966a36eef8fc899e73349e494c87f3128b2bcf275c50e1efb1650a8918a88c,gate_id=P0_S3B_ONE_FACTOR_REPRESENTATION_ONLY,observed,Only the local-risk representation changes from raw token entropy to LOCAL_IU29.
P0,P0_BRIDGE,P0_S3B_IU29_STEP_MAX_LOCAL_DETECTOR,P0_S3B_INPUT_STREAM_COUNT,input_stream_count,29,29,eq,true,streams,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s3b_iu29_representation_bridge/P0_S3B_GATES.csv,4b966a36eef8fc899e73349e494c87f3128b2bcf275c50e1efb1650a8918a88c,gate_id=P0_S3B_INPUT_STREAM_COUNT,observed,All 29 registered SHARED_TOKEN_VIEWS streams are present and finite in every cell.
P0,P0_BRIDGE,P0_S3B_IU29_STEP_MAX_LOCAL_DETECTOR,P0_S3B_CALIBRATION_ONLY_FIT,calibration_only_fit,true,true,eq,true,boolean,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s3b_iu29_representation_bridge/P0_S3B_GATES.csv,4b966a36eef8fc899e73349e494c87f3128b2bcf275c50e1efb1650a8918a88c,gate_id=P0_S3B_CALIBRATION_ONLY_FIT,observed,IU29 transforms standardization orientation and fusion are fit only on calibration rows.
P0,P0_BRIDGE,P0_S3B_IU29_STEP_MAX_LOCAL_DETECTOR,P0_S3B_LABEL_FREE_REPRESENTATION,label_free_representation,true,true,eq,true,boolean,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s3b_iu29_representation_bridge/P0_S3B_GATES.csv,4b966a36eef8fc899e73349e494c87f3128b2bcf275c50e1efb1650a8918a88c,gate_id=P0_S3B_LABEL_FREE_REPRESENTATION,observed,No labels enter IU29 representation fitting.
P0,P0_BRIDGE,P0_S3B_IU29_STEP_MAX_LOCAL_DETECTOR,P0_S3B_DETERMINISTIC_RECONSTRUCTION,deterministic_reconstruction,true,true,eq,true,boolean,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s3b_iu29_representation_bridge/P0_S3B_GATES.csv,4b966a36eef8fc899e73349e494c87f3128b2bcf275c50e1efb1650a8918a88c,gate_id=P0_S3B_DETERMINISTIC_RECONSTRUCTION,observed,Repeated IU29 fit and score reconstruction agrees within 1e-12.
P0,P0_BRIDGE,P0_S3B_IU29_STEP_MAX_LOCAL_DETECTOR,P0_S3B_POPULATION_HASH_UNCHANGED,population_sha256,d12d651cad9bec326686c2c83070644d22ca058ed57e942f683452050e757a05,d12d651cad9bec326686c2c83070644d22ca058ed57e942f683452050e757a05,eq,true,sha256,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s3b_iu29_representation_bridge/P0_S3B_GATES.csv,4b966a36eef8fc899e73349e494c87f3128b2bcf275c50e1efb1650a8918a88c,gate_id=P0_S3B_POPULATION_HASH_UNCHANGED,observed,The historical 1270-row 635-group population is unchanged from S3A.
P0,P0_BRIDGE,P0_S3B_IU29_STEP_MAX_LOCAL_DETECTOR,P0_S3B_BOOTSTRAP_DRAWS,bootstrap_draws,20000,20000,eq,true,draws,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s3b_iu29_representation_bridge/P0_S3B_GATES.csv,4b966a36eef8fc899e73349e494c87f3128b2bcf275c50e1efb1650a8918a88c,gate_id=P0_S3B_BOOTSTRAP_DRAWS,observed,The registered 20000 paired source-question bootstrap draws were used.
P0,P0_BRIDGE,P0_S3B_IU29_STEP_MAX_LOCAL_DETECTOR,P0_S3B_SOURCE_HASHES_STABLE,source_manifest_sha256,2ad7217b45d1c009c70a3a252ab60a83168565b9ea6ea811399311a440b3864d,2ad7217b45d1c009c70a3a252ab60a83168565b9ea6ea811399311a440b3864d,eq,true,sha256,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s3b_iu29_representation_bridge/P0_S3B_GATES.csv,4b966a36eef8fc899e73349e494c87f3128b2bcf275c50e1efb1650a8918a88c,gate_id=P0_S3B_SOURCE_HASHES_STABLE,observed,All registered S3A artifacts code dependencies and raw-source files retain their preflight hashes.
P0,P0_BRIDGE,P0_S4_IU29_STEP_MAX_LOCAL_DETECTOR_FIVEFOLD,P0_S4_PARENT_RECONSTRUCTION_EXACT,p0_s4_parent_reconstruction_exact,true,true,eq,true,audit,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s4_fivefold_split_bridge/P0_S4_GATES.csv,53dd0ae971c715b084dafe3e5fad3ff448930d92596d9cbbdcdb65971c8eb9ae,gate_id=P0_S4_PARENT_RECONSTRUCTION_EXACT,observed,"Frozen Phase-0 provenance, access, population, or execution gate."
P0,P0_BRIDGE,P0_S4_IU29_STEP_MAX_LOCAL_DETECTOR_FIVEFOLD,P0_S4_ONE_FACTOR_SPLIT_ONLY,p0_s4_one_factor_split_only,fivefold_source_group_crossfit,fivefold_source_group_crossfit,eq,true,audit,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s4_fivefold_split_bridge/P0_S4_GATES.csv,53dd0ae971c715b084dafe3e5fad3ff448930d92596d9cbbdcdb65971c8eb9ae,gate_id=P0_S4_ONE_FACTOR_SPLIT_ONLY,observed,"Frozen Phase-0 provenance, access, population, or execution gate."
P0,P0_BRIDGE,P0_S4_IU29_STEP_MAX_LOCAL_DETECTOR_FIVEFOLD,P0_S4_SCORE_AND_LOCATOR_UNCHANGED,p0_s4_score_and_locator_unchanged,true,true,eq,true,audit,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s4_fivefold_split_bridge/P0_S4_GATES.csv,53dd0ae971c715b084dafe3e5fad3ff448930d92596d9cbbdcdb65971c8eb9ae,gate_id=P0_S4_SCORE_AND_LOCATOR_UNCHANGED,observed,"Frozen Phase-0 provenance, access, population, or execution gate."
