family,method,pool,description,origin,track_record,similar,macro,qa,math,cells,size_mean,size_median,size_min,size_max,size_cells,top_features,picks_subset,needs_anchor,scale,reproduces,macro_today,drift_pp,frac_size3,macro_spread_pp,cell_spread_pp,worst_cell_spread_pp,macro_eigen,macro_complete,role,status,step
a1_residual,a1.router@good5+scale_complete,c46,"Routes GOOD_5's fusion to whichever of L-SML/U-PCR has the better structural residual on this cell. For each candidate subset: build the covariance, spectral-cluster it into K groups, measure the residual of that fit. Also includes a router between L-SML and U-PCR fusion based on which has the lower residual, and swapping the K-selection rule for the Ahn-Horenstein / Kritchman-Nadler rank tests. Same method, re-derived with L-SML's rank-one loading estimator set to scale S. 'unit' is the historical default and does not satisfy Lemma 1; 'complete' is the exact masked-completion fit. Only selectors whose objective calls L-SML are affected.","Jaffe, Nadler, Kluger — ""Estimating the Accuracies of Multiple Classifiers Without Labels"" (arXiv:1407.7644, 2014). Reuses the paper's own Eq-14 structural residual — how well a K-group rank-one covariance model fits a subset's correlation structure — but as a SELECTION criterion, which is not what the paper proposes it for (the paper uses it internally at fusion time; we search over subsets to minimize it).","Every variant scored BELOW GOOD_5 on the 25 in-scope cells (best: a1.router@good5 0.7494 vs GOOD_5 0.7519). Verdict: the residual objective is not admissible as a selection criterion — it is nearly orthogonal to separability (weakly ANTI-correlated with AUROC, Spearman ~ -0.11 to -0.17).","a1.router@good5, a1.good5+K_ah, a1.good5+K_kn, a1.minres+K_ah, a1.minres_exh_adapt",0.7519,0.721,0.7725,25,5,5,5,5,25,"epr, spectral_entropy, low_band_power",no — fixed,yes,complete,re-run today,0.7519,,0.0,,,,,,"router (fixed subset, learned fusion choice only)","corrected criterion, +0.25pp vs 'unit'",205
a6_pseudolabel_gates,a6.pl_dufs@central4,c46,"a6.pl_dufs with seeds chosen by diverse-centrality (most consensus-correlated, capped for redundancy) instead of the fixed priority list. Fuse 4 seed views (epr, low_band_power, spectral_entropy, cusum_max — a label-free priority-list rule, held out of the selectable pool to avoid circularity) via continuous L-SML into a pseudo-label; supervise DUFS's per-feature gates with a CENTERED agreement-with-pseudo-label reward on top of the unsupervised Laplacian-smoothness term.","No single paper — Omri's idea (2026-07-22), built on top of a2_groupfs's DUFS gate machinery (Lindenbaum et al. 2021, see a2_groupfs) plus the project's own prior pseudo-label mechanism (`fusion_utils.best_nadler_pseudo_label`, Step ~100, which built a pseudo-label by MAJORITY-VOTE BINARIZATION for an exhaustive search — a6 instead uses CONTINUOUS L-SML fusion and spends the pseudo-label on the gate objective).","a6.pl_dufs 0.7524 — the ONLY learned selector to nominally edge GOOD_5 (+0.05pp, not significant), and ADOPTED AS THE SELECTOR OF RECORD despite both pre-registered gates (mechanism rho>=0.30, performance >=+1.0pp) FAILING. Seed-choice experiments (2026-07-23, WS4): swapping seeds for LOCO_5's views or diverse-centrality picks moves it by only -0.02 to -0.07pp — the seed set is not the lever. A full-pool (no-held-out-seeds) variant (a6.fp_dufs) scores about the same (0.7508).","a6.dufs, a6.fp_dufs, a6.fp_rank, a6.pl_dufs",0.7517,0.7117,0.7785,25,19.6,20,14,24,25,"epr, sw_var_peak, epr_spilled",no — fixed,yes,unit,verified,0.7517,0.0,0.0,0.0,0.0,0.0,0.743,0.7437,fs_selector_candidate,,Step 196 (WS4 Arm B)
a6_pseudolabel_gates,a6.fp_rank,c46,"Size-matched ranking ablation of a6.fp_dufs. Fuse 4 seed views (epr, low_band_power, spectral_entropy, cusum_max — a label-free priority-list rule, held out of the selectable pool to avoid circularity) via continuous L-SML into a pseudo-label; supervise DUFS's per-feature gates with a CENTERED agreement-with-pseudo-label reward on top of the unsupervised Laplacian-smoothness term.","No single paper — Omri's idea (2026-07-22), built on top of a2_groupfs's DUFS gate machinery (Lindenbaum et al. 2021, see a2_groupfs) plus the project's own prior pseudo-label mechanism (`fusion_utils.best_nadler_pseudo_label`, Step ~100, which built a pseudo-label by MAJORITY-VOTE BINARIZATION for an exhaustive search — a6 instead uses CONTINUOUS L-SML fusion and spends the pseudo-label on the gate objective).","a6.pl_dufs 0.7524 — the ONLY learned selector to nominally edge GOOD_5 (+0.05pp, not significant), and ADOPTED AS THE SELECTOR OF RECORD despite both pre-registered gates (mechanism rho>=0.30, performance >=+1.0pp) FAILING. Seed-choice experiments (2026-07-23, WS4): swapping seeds for LOCO_5's views or diverse-centrality picks moves it by only -0.02 to -0.07pp — the seed set is not the lever. A full-pool (no-held-out-seeds) variant (a6.fp_dufs) scores about the same (0.7508).","a6.dufs, a6.fp_dufs, a6.pl_dufs, a6.pl_dufs@central4",0.7509,0.7113,0.7773,25,19.0,19,12,24,25,"sw_var_peak, topk_tail_mass, cusum_max_spilled",yes,yes,unit,verified,0.7509,0.0,0.0,0.0,0.0,0.0,0.7484,0.7491,fs_selector_candidate,,Step 196 (WS4 Arm A)
a6_pseudolabel_gates,a6.dufs,c46,"Unsupervised control: a6's DUFS gates with NO pseudo-label term (lambda3=0) — should reproduce a2.dufs closely. Fuse 4 seed views (epr, low_band_power, spectral_entropy, cusum_max — a label-free priority-list rule, held out of the selectable pool to avoid circularity) via continuous L-SML into a pseudo-label; supervise DUFS's per-feature gates with a CENTERED agreement-with-pseudo-label reward on top of the unsupervised Laplacian-smoothness term.","No single paper — Omri's idea (2026-07-22), built on top of a2_groupfs's DUFS gate machinery (Lindenbaum et al. 2021, see a2_groupfs) plus the project's own prior pseudo-label mechanism (`fusion_utils.best_nadler_pseudo_label`, Step ~100, which built a pseudo-label by MAJORITY-VOTE BINARIZATION for an exhaustive search — a6 instead uses CONTINUOUS L-SML fusion and spends the pseudo-label on the gate objective).","a6.pl_dufs 0.7524 — the ONLY learned selector to nominally edge GOOD_5 (+0.05pp, not significant), and ADOPTED AS THE SELECTOR OF RECORD despite both pre-registered gates (mechanism rho>=0.30, performance >=+1.0pp) FAILING. Seed-choice experiments (2026-07-23, WS4): swapping seeds for LOCO_5's views or diverse-centrality picks moves it by only -0.02 to -0.07pp — the seed set is not the lever. A full-pool (no-held-out-seeds) variant (a6.fp_dufs) scores about the same (0.7508).","a6.fp_dufs, a6.fp_rank, a6.pl_dufs, a6.pl_dufs@central4",0.7508,0.7098,0.7781,25,19.0,19,11,24,25,"epr, epr_spilled, mean_top1_logprob",yes,yes,unit,verified,0.7508,0.0,0.0,0.0,0.0,0.0,0.7427,0.7411,fs_selector_candidate,,Step 194
a6_pseudolabel_gates,a6.fp_dufs,c46,"Omri's two-stage idea (4b): pseudo-label from ALL 30 views (not 4 seeds) supervises gates over ALL 30 views. No circularity guard possible — nothing is held out. Fuse 4 seed views (epr, low_band_power, spectral_entropy, cusum_max — a label-free priority-list rule, held out of the selectable pool to avoid circularity) via continuous L-SML into a pseudo-label; supervise DUFS's per-feature gates with a CENTERED agreement-with-pseudo-label reward on top of the unsupervised Laplacian-smoothness term.","No single paper — Omri's idea (2026-07-22), built on top of a2_groupfs's DUFS gate machinery (Lindenbaum et al. 2021, see a2_groupfs) plus the project's own prior pseudo-label mechanism (`fusion_utils.best_nadler_pseudo_label`, Step ~100, which built a pseudo-label by MAJORITY-VOTE BINARIZATION for an exhaustive search — a6 instead uses CONTINUOUS L-SML fusion and spends the pseudo-label on the gate objective).","a6.pl_dufs 0.7524 — the ONLY learned selector to nominally edge GOOD_5 (+0.05pp, not significant), and ADOPTED AS THE SELECTOR OF RECORD despite both pre-registered gates (mechanism rho>=0.30, performance >=+1.0pp) FAILING. Seed-choice experiments (2026-07-23, WS4): swapping seeds for LOCO_5's views or diverse-centrality picks moves it by only -0.02 to -0.07pp — the seed set is not the lever. A full-pool (no-held-out-seeds) variant (a6.fp_dufs) scores about the same (0.7508).","a6.dufs, a6.fp_rank, a6.pl_dufs, a6.pl_dufs@central4",0.7508,0.7098,0.7781,25,19.0,19,12,24,25,"epr, epr_spilled, mean_top1_logprob",yes,yes,unit,verified,0.7508,0.0,0.0,0.0,0.0,0.0,0.7421,0.7411,fs_selector_candidate,,Step 196 (WS4 Arm A)
a2_groupfs,a2.dufs_pf,c46,"DUFS's own Eq. (7) PARAMETER-FREE loss — no lambda to tune, more faithful to the paper than a2.dufs's label-free lambda-stability search. GroupFS: Gumbel-softmax soft group assignment + per-group stochastic gates, trained against sample-graph smoothness + feature-graph smoothness + group sparsity (3-term loss). DUFS: per-feature stochastic gates trained against Laplacian-score sample smoothness alone. Both use the self-tuning kernel graph + t=2 random-walk diffusion.","GroupFS: Lifshitz, Lindenbaum, Mishne, Meir, Benisty — ""Unsupervised Feature Selection Through Group Discovery"" (AAAI 2026, arXiv:2511.09166); no official code, clean-room torch reimplementation. Its selection signal is replaced by DUFS: Lindenbaum, Shaham, Svirsky, Peterfreund, Kluger — ""Differentiable Unsupervised Feature Selection based on a Gated Laplacian"" (NeurIPS 2021, arXiv:2007.04728) — see a2.dufs below.","a2.dufs 0.7502, a2.select (GroupFS's own readout) 0.7481 — both just under GOOD_5 (0.7519). The 2026-07-23 fidelity audit found BOTH are faithful to their papers' equations, but GroupFS's own group-gate readout saturates open under our CPU budget, so selection was replaced with the DUFS per-feature signal (documented deviation) — meaning a2.select vs a2.dufs is really ""one gate mechanism, two readouts,"" not two different papers head to head. See results/advisor_inscope/fs_paper_fidelity.md for the full audit.","a2.dufs, a2.groups@good5, a2.select, a2.select+groups",0.7507,0.7089,0.7787,25,16.9,17,10,23,25,"epr, epr_spilled, mean_top1_logprob",yes,yes,unit,verified,0.7507,0.0,0.0,0.0,0.0,0.0,0.7415,0.7431,fs_selector_candidate,,Step 196 (WS8)
a2_groupfs,a2.dufs,c46,"DUFS (Gated-Laplacian) per-feature gates — the 2021 predecessor GroupFS's own selection signal was replaced with (see a2_groupfs family note). GroupFS: Gumbel-softmax soft group assignment + per-group stochastic gates, trained against sample-graph smoothness + feature-graph smoothness + group sparsity (3-term loss). DUFS: per-feature stochastic gates trained against Laplacian-score sample smoothness alone. Both use the self-tuning kernel graph + t=2 random-walk diffusion.","GroupFS: Lifshitz, Lindenbaum, Mishne, Meir, Benisty — ""Unsupervised Feature Selection Through Group Discovery"" (AAAI 2026, arXiv:2511.09166); no official code, clean-room torch reimplementation. Its selection signal is replaced by DUFS: Lindenbaum, Shaham, Svirsky, Peterfreund, Kluger — ""Differentiable Unsupervised Feature Selection based on a Gated Laplacian"" (NeurIPS 2021, arXiv:2007.04728) — see a2.dufs below.","a2.dufs 0.7502, a2.select (GroupFS's own readout) 0.7481 — both just under GOOD_5 (0.7519). The 2026-07-23 fidelity audit found BOTH are faithful to their papers' equations, but GroupFS's own group-gate readout saturates open under our CPU budget, so selection was replaced with the DUFS per-feature signal (documented deviation) — meaning a2.select vs a2.dufs is really ""one gate mechanism, two readouts,"" not two different papers head to head. See results/advisor_inscope/fs_paper_fidelity.md for the full audit.","a2.dufs_pf, a2.groups@good5, a2.select, a2.select+groups",0.7502,0.7087,0.7778,25,19.0,19,12,24,25,"epr, epr_spilled, mean_top1_logprob",yes,yes,unit,verified,0.7502,0.0,0.0,0.0,0.0,0.0,0.7433,0.7415,fs_selector_candidate,,"Step 186, audited Step 195"
a1_residual,a1.router@good5,h16,"Routes GOOD_5's fusion to whichever of L-SML/U-PCR has the better structural residual on this cell. For each candidate subset: build the covariance, spectral-cluster it into K groups, measure the residual of that fit. Also includes a router between L-SML and U-PCR fusion based on which has the lower residual, and swapping the K-selection rule for the Ahn-Horenstein / Kritchman-Nadler rank tests.","Jaffe, Nadler, Kluger — ""Estimating the Accuracies of Multiple Classifiers Without Labels"" (arXiv:1407.7644, 2014). Reuses the paper's own Eq-14 structural residual — how well a K-group rank-one covariance model fits a subset's correlation structure — but as a SELECTION criterion, which is not what the paper proposes it for (the paper uses it internally at fusion time; we search over subsets to minimize it).","Every variant scored BELOW GOOD_5 on the 25 in-scope cells (best: a1.router@good5 0.7494 vs GOOD_5 0.7519). Verdict: the residual objective is not admissible as a selection criterion — it is nearly orthogonal to separability (weakly ANTI-correlated with AUROC, Spearman ~ -0.11 to -0.17).","a1.good5+K_ah, a1.good5+K_kn, a1.minres+K_ah, a1.minres_exh_adapt",0.7496,0.7134,0.7737,25,5,5,5,5,25,"epr, spectral_entropy, low_band_power",no — fixed,yes,unit,within its own noise,0.7496,0.0,0.0,0.0,0.0,0.0,0.7429,0.7359,"router (fixed subset, learned fusion choice only)",,Step 186
a1_residual,a1.router@good5,c46,"Routes GOOD_5's fusion to whichever of L-SML/U-PCR has the better structural residual on this cell. For each candidate subset: build the covariance, spectral-cluster it into K groups, measure the residual of that fit. Also includes a router between L-SML and U-PCR fusion based on which has the lower residual, and swapping the K-selection rule for the Ahn-Horenstein / Kritchman-Nadler rank tests.","Jaffe, Nadler, Kluger — ""Estimating the Accuracies of Multiple Classifiers Without Labels"" (arXiv:1407.7644, 2014). Reuses the paper's own Eq-14 structural residual — how well a K-group rank-one covariance model fits a subset's correlation structure — but as a SELECTION criterion, which is not what the paper proposes it for (the paper uses it internally at fusion time; we search over subsets to minimize it).","Every variant scored BELOW GOOD_5 on the 25 in-scope cells (best: a1.router@good5 0.7494 vs GOOD_5 0.7519). Verdict: the residual objective is not admissible as a selection criterion — it is nearly orthogonal to separability (weakly ANTI-correlated with AUROC, Spearman ~ -0.11 to -0.17).","a1.good5+K_ah, a1.good5+K_kn, a1.minres+K_ah, a1.minres_exh_adapt",0.7494,0.7154,0.7721,25,5,5,5,5,25,"epr, spectral_entropy, low_band_power",no — fixed,yes,unit,re-run today,0.7494,,0.0,0.0,0.0,0.0,0.6656,0.6649,"router (fixed subset, learned fusion choice only)",,Step 186
reference_macros,ref.top_macro_5,c46,"Top 5 features by individual informativeness across the repgrid grid. Emits the fixed subsets (GOOD_5/6, LOCO_5, ...) through the exact same select-then-fuse-then-score path every learned selector uses, so they land in the same leaderboard with identical metrics.",None — not a selector.,"This is the comparison target, not a candidate — see the Reference subsets section above for numbers.","ref.ALL_H16, ref.GOOD_5, ref.GOOD_6, ref.LOCO_5",0.7489,0.7211,0.7675,25,5,5,5,5,25,"epr, spectral_entropy, hl_ratio",no — fixed,yes,unit,verified,0.7489,0.0,0.0,0.0,0.0,0.0,0.7486,0.7457,"reference_macro (hand-curated, not FS output)",,Step 155 era
reference_macros,ref.top_macro_5,h16,"Top 5 features by individual informativeness across the repgrid grid. Emits the fixed subsets (GOOD_5/6, LOCO_5, ...) through the exact same select-then-fuse-then-score path every learned selector uses, so they land in the same leaderboard with identical metrics.",None — not a selector.,"This is the comparison target, not a candidate — see the Reference subsets section above for numbers.","ref.ALL_H16, ref.GOOD_5, ref.GOOD_6, ref.LOCO_5",0.7489,0.7211,0.7675,25,5,5,5,5,25,"epr, spectral_entropy, hl_ratio",no — fixed,yes,unit,within its own noise,0.7489,0.0,0.0,0.0,0.0,0.0,0.7486,0.7457,"reference_macro (hand-curated, not FS output)",,Step 155 era
a6_pseudolabel_gates,a6.pl_rank,c46,"Size-matched ablation: top-|corr|-with-pseudo-label ranking, no gate training. If this ties pl_dufs, the gate machinery adds nothing. Fuse 4 seed views (epr, low_band_power, spectral_entropy, cusum_max — a label-free priority-list rule, held out of the selectable pool to avoid circularity) via continuous L-SML into a pseudo-label; supervise DUFS's per-feature gates with a CENTERED agreement-with-pseudo-label reward on top of the unsupervised Laplacian-smoothness term.","No single paper — Omri's idea (2026-07-22), built on top of a2_groupfs's DUFS gate machinery (Lindenbaum et al. 2021, see a2_groupfs) plus the project's own prior pseudo-label mechanism (`fusion_utils.best_nadler_pseudo_label`, Step ~100, which built a pseudo-label by MAJORITY-VOTE BINARIZATION for an exhaustive search — a6 instead uses CONTINUOUS L-SML fusion and spends the pseudo-label on the gate objective).","a6.pl_dufs 0.7524 — the ONLY learned selector to nominally edge GOOD_5 (+0.05pp, not significant), and ADOPTED AS THE SELECTOR OF RECORD despite both pre-registered gates (mechanism rho>=0.30, performance >=+1.0pp) FAILING. Seed-choice experiments (2026-07-23, WS4): swapping seeds for LOCO_5's views or diverse-centrality picks moves it by only -0.02 to -0.07pp — the seed set is not the lever. A full-pool (no-held-out-seeds) variant (a6.fp_dufs) scores about the same (0.7508).","a6.dufs, a6.fp_dufs, a6.fp_rank, a6.pl_dufs",0.7487,0.7096,0.7748,25,20.2,20,16,24,25,"epr, spectral_entropy, low_band_power",yes,yes,unit,verified,0.7487,0.0,0.0,0.0,0.0,0.0,0.7344,0.7345,fs_selector_candidate,,Step 194
