experiment,method,auroc,vs_all_measurements_pp,vs_best_automatic_picker_pp,vs_six_hand_picked_pp,test_sets_better,test_sets_worse,wilcoxon_p,note
1. Grouping step,"Grouping OFF, 8 measurements kept",0.7377,-0.8,-1.47,-2.17,20,5,0.0023,difference +0.30 pp
1. Grouping step,"Grouping ON, 10 measurements kept",0.7351,-1.06,-1.73,-2.43,,,,
1. Grouping step,"Grouping OFF, 10 measurements kept",0.7388,-0.69,-1.36,-2.06,19,6,0.0010,difference +0.38 pp
1. Grouping step,"Grouping ON, 12 measurements kept",0.7375,-0.82,-1.49,-2.19,,,,
1. Grouping step,"Grouping OFF, 12 measurements kept",0.7435,-0.22,-0.89,-1.59,20,5,0.0016,difference +0.61 pp
1. Grouping step,"Grouping ON, 15 measurements kept",0.7397,-0.6,-1.27,-1.97,,,,
1. Grouping step,"Grouping OFF, 15 measurements kept",0.7447,-0.1,-0.77,-1.47,17,8,0.0422,difference +0.49 pp
1. Grouping step,"Grouping ON, 18 measurements kept",0.7428,-0.29,-0.96,-1.66,,,,
1. Grouping step,"Grouping OFF, 18 measurements kept",0.7498,0.41,-0.26,-0.96,17,8,0.0236,difference +0.70 pp
1. Grouping step,"Grouping ON, 21 measurements kept",0.7442,-0.15,-0.82,-1.52,,,,
1. Grouping step,"Grouping OFF, 21 measurements kept",0.7505,0.48,-0.19,-0.89,17,8,0.0422,difference +0.63 pp
1. Grouping step,"Grouping ON, 24 measurements kept",0.7472,0.15,-0.52,-1.22,,,,
1. Grouping step,"Grouping OFF, 24 measurements kept",0.7519,0.62,-0.05,-0.75,16,9,0.0299,difference +0.47 pp
1. Grouping step,"Grouping ON, 27 measurements kept",0.7435,-0.22,-0.89,-1.59,,,,
1. Grouping step,"Grouping OFF, 27 measurements kept",0.753,0.73,0.06,-0.64,17,8,0.0173,difference +0.95 pp
1. Grouping step,"Grouping ON, full pool (all 25 test sets)",0.7457,0.0,-0.67,-1.37,,,,
1. Grouping step,"Grouping OFF, full pool (all 25 test sets)",0.7533,0.76,0.09,-0.61,17,8,0.0240,difference +0.76 pp
2. Cluster-localized trimming,Localize to a RANDOM group (control),0.7302,-1.55,-2.22,-2.92,18,7,0.032,trimmed to 12 measurements
2. Cluster-localized trimming,"Worst group + smoothness, graph = anchor only",0.7112,-3.45,-4.12,-4.82,10,9,0.748,trimmed to 12 measurements
2. Cluster-localized trimming,"Worst group + smoothness, graph = group minus candidate",0.7092,-3.65,-4.32,-5.02,8,9,0.906,trimmed to 12 measurements
2. Cluster-localized trimming,Localize to worst-fitting group,0.708,-3.77,-4.44,-5.14,0,0,,trimmed to 12 measurements
2. Cluster-localized trimming,"Worst group + smoothness, graph = the group itself",0.7064,-3.93,-4.6,-5.3,8,12,0.332,trimmed to 12 measurements
2. Cluster-localized trimming,Worst group + coin-flip tie-break (control),0.7063,-3.94,-4.61,-5.31,8,9,0.868,trimmed to 12 measurements
2. Cluster-localized trimming,"Worst group + smoothness, graph = all 30 measurements",0.6997,-4.6,-5.27,-5.97,6,11,0.149,trimmed to 12 measurements
2. Cluster-localized trimming,Remove globally (no groups),0.698,-4.77,-5.44,-6.14,8,13,0.131,trimmed to 12 measurements
3. Size curve,A typical combination of 3 measurements,0.6928,-5.29,-5.96,-6.66,,,,
3. Size curve,The BEST combination found at 3 measurements,0.774,2.83,2.16,1.46,,,,upper bound - picked using answer keys
3. Size curve,A typical combination of 4 measurements,0.706,-3.97,-4.64,-5.34,,,,
3. Size curve,The BEST combination found at 4 measurements,0.7686,2.29,1.62,0.92,,,,upper bound - picked using answer keys
3. Size curve,A typical combination of 6 measurements,0.7225,-2.32,-2.99,-3.69,,,,
3. Size curve,The BEST combination found at 6 measurements,0.7769,3.12,2.45,1.75,,,,upper bound - picked using answer keys
3. Size curve,A typical combination of 8 measurements,0.7311,-1.46,-2.13,-2.83,,,,
3. Size curve,The BEST combination found at 8 measurements,0.7747,2.9,2.23,1.53,,,,upper bound - picked using answer keys
3. Size curve,A typical combination of 11 measurements,0.7372,-0.85,-1.52,-2.22,,,,
3. Size curve,The BEST combination found at 11 measurements,0.7724,2.67,2.0,1.3,,,,upper bound - picked using answer keys
3. Size curve,A typical combination of 14 measurements,0.7401,-0.56,-1.23,-1.93,,,,
3. Size curve,The BEST combination found at 14 measurements,0.7713,2.56,1.89,1.19,,,,upper bound - picked using answer keys
3. Size curve,A typical combination of 17 measurements,0.7446,-0.11,-0.78,-1.48,,,,
3. Size curve,The BEST combination found at 17 measurements,0.7676,2.19,1.52,0.82,,,,upper bound - picked using answer keys
3. Size curve,A typical combination of 21 measurements,0.745,-0.07,-0.74,-1.44,,,,
3. Size curve,The BEST combination found at 21 measurements,0.766,2.03,1.36,0.66,,,,upper bound - picked using answer keys
3. Size curve,A typical combination of 25 measurements,0.7444,-0.13,-0.8,-1.5,,,,
3. Size curve,The BEST combination found at 25 measurements,0.7634,1.77,1.1,0.4,,,,upper bound - picked using answer keys
5. Weighting (main effects),Conditioning: no conditioning,0.752,0.63,-0.04,-0.74,,,,averaged over 8 configurations
5. Weighting (main effects),Conditioning: random-matrix cleaning,0.7534,0.77,0.1,-0.6,,,,averaged over 8 configurations
5. Weighting (main effects),Loading estimator: leading eigenvector (current),0.7527,0.7,0.03,-0.67,,,,averaged over 4 configurations
5. Weighting (main effects),Loading estimator: triplet method-of-moments,0.7548,0.91,0.24,-0.46,,,,averaged over 4 configurations
5. Weighting (main effects),Loading estimator: low-rank plus sparse split,0.7538,0.81,0.14,-0.56,,,,averaged over 4 configurations
5. Weighting (main effects),Loading estimator: robust re-weighted fit,0.7494,0.37,-0.3,-1.0,,,,averaged over 4 configurations
5. Weighting (main effects),Weighting: weight by signal (current),0.7533,0.76,0.09,-0.61,,,,averaged over 8 configurations
5. Weighting (main effects),Weighting: weight by signal over noise,0.752,0.63,-0.04,-0.74,,,,averaged over 8 configurations
5. Weighting (each pipeline),triplet method-of-moments + weight by signal over noise + random-matrix cleaning,0.7555,0.98,0.31,-0.39,15,9,0.063,+0.22 pp vs current recipe
5. Weighting (each pipeline),triplet method-of-moments + weight by signal over noise + no conditioning,0.7549,0.92,0.25,-0.45,14,11,0.731,+0.16 pp vs current recipe
5. Weighting (each pipeline),triplet method-of-moments + weight by signal (current) + random-matrix cleaning,0.7544,0.87,0.2,-0.5,15,10,0.090,+0.11 pp vs current recipe
5. Weighting (each pipeline),low-rank plus sparse split + weight by signal over noise + no conditioning,0.7543,0.86,0.19,-0.51,15,10,0.220,+0.11 pp vs current recipe
5. Weighting (each pipeline),triplet method-of-moments + weight by signal (current) + no conditioning,0.7543,0.86,0.19,-0.51,14,11,0.263,+0.10 pp vs current recipe
5. Weighting (each pipeline),low-rank plus sparse split + weight by signal over noise + random-matrix cleaning,0.7538,0.81,0.14,-0.56,13,12,0.751,+0.05 pp vs current recipe
5. Weighting (each pipeline),leading eigenvector (current) + weight by signal over noise + random-matrix cleaning,0.7538,0.81,0.14,-0.56,13,12,0.542,+0.05 pp vs current recipe
5. Weighting (each pipeline),low-rank plus sparse split + weight by signal (current) + random-matrix cleaning,0.7536,0.79,0.12,-0.58,14,11,0.525,+0.03 pp vs current recipe
5. Weighting (each pipeline),low-rank plus sparse split + weight by signal (current) + no conditioning,0.7535,0.78,0.11,-0.59,15,10,0.653,+0.02 pp vs current recipe
5. Weighting (each pipeline),leading eigenvector (current) + weight by signal (current) + random-matrix cleaning,0.7533,0.76,0.09,-0.61,12,10,0.506,+0.01 pp vs current recipe
5. Weighting (each pipeline),leading eigenvector (current) + weight by signal (current) + no conditioning,0.7533,0.76,0.09,-0.61,0,0,,+0.00 pp vs current recipe
5. Weighting (each pipeline),robust re-weighted fit + weight by signal (current) + random-matrix cleaning,0.7523,0.66,-0.01,-0.71,12,13,0.615,-0.10 pp vs current recipe
5. Weighting (each pipeline),robust re-weighted fit + weight by signal (current) + no conditioning,0.7517,0.6,-0.07,-0.77,10,15,0.300,-0.16 pp vs current recipe
5. Weighting (each pipeline),leading eigenvector (current) + weight by signal over noise + no conditioning,0.7504,0.47,-0.2,-0.9,8,17,0.113,-0.29 pp vs current recipe
5. Weighting (each pipeline),robust re-weighted fit + weight by signal over noise + random-matrix cleaning,0.7503,0.46,-0.21,-0.91,9,16,0.156,-0.30 pp vs current recipe
5. Weighting (each pipeline),robust re-weighted fit + weight by signal over noise + no conditioning,0.7434,-0.23,-0.9,-1.6,10,15,0.063,-0.99 pp vs current recipe
